gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test
CYP51A1,8.17918567918567,0.00811127579138048,0.0484341379177097,-0.06586238426281,0.655390110551243,0.175160374883046,0.5,0.361358144544761,0.732330501777978,0.220805954266386,0.727272727272727,-0.632015852849641,0.765725855879898,0.230875032384307,0.181818181818182,-0.427220528807571,0.427220528807571,0.982773707850772,0.982773707850772,0.566153468586831,-0.566153468586831,1.00790489797965,1.00790489797965,0.993373997394401,-0.993373997394401,1.05954898433125,1.05954898433125,limma_multi(mod_F)
KRIT1,2.18643968643968,0.298458545275331,0.539861528592823,0.236511271313166,0.579235181576263,0.154807113987441,0.5,-0.0183123471831469,0.539047983146396,0.162529082190401,0.454545454545455,0.306776675245102,0.395512863385016,0.119251615237018,0.727272727272727,0.254823618496313,-0.254823618496313,0.791256041815722,0.791256041815722,-0.0702654039319366,0.0702654039319366,0.701387069084326,0.701387069084326,-0.325089022428249,0.325089022428249,0.668582944171635,0.668582944171635,limma_multi(mod_F)
RAD52,3.86983736983737,0.185633199682996,0.408281107442923,0.103411450093465,0.507933537944799,0.135750948160098,0.5,-0.139770190226404,0.426276852831643,0.128527307059646,0.363636363636364,0.284884953763826,0.668328740317169,0.201508697112993,0.818181818181818,0.243181640319869,-0.243181640319869,0.663105145681415,0.663105145681415,-0.181473503670361,0.181473503670361,0.839440161121121,0.839440161121121,-0.42465514399023,0.42465514399023,0.792701242836154,0.792701242836154,limma_multi(mod_F)
MYH16,2.01010394985948,0.623317804509645,0.795779080507069,0.0975985994432785,0.339342496171159,0.090693096960366,0.714285714285714,0.0360127290172527,0.176169908423686,0.053117225962967,0.727272727272727,0.00592889593908017,0.0919354610222796,0.0277195844672041,0.363636363636364,0.0615858704260258,-0.0615858704260258,0.382346918833777,0.382346918833777,0.0916697035041983,-0.0916697035041983,0.351575679905553,0.351575679905553,0.0300838330781725,-0.0300838330781725,0.198715791087143,0.198715791087143,limma_multi(mod_F)
BAD,13.6501111501111,0.000299433540417709,0.00464183148823308,-0.160565737620197,0.458777697065198,0.122613497079367,0.357142857142857,0.541827128746509,0.413412317365204,0.124648503673792,0.909090909090909,-0.0468502762869521,0.311667656490617,0.0939713341698865,0.272727272727273,-0.702392866366706,0.702392866366706,0.617565154031309,0.617565154031309,-0.113715461333245,0.113715461333245,0.55462933877212,0.55462933877212,0.588677405033461,-0.588677405033461,0.517732046769003,0.517732046769003,limma_multi(mod_F)
LAP3,6.34696384696385,0.0636736538499138,0.205446764990719,0.206328946935793,0.448138854096973,0.119770146695168,0.857142857142857,-0.110210705088616,0.608028874519127,0.183327603498366,0.545454545454545,0.368673572827149,0.332032951994181,0.10011170179989,0.909090909090909,0.316539652024409,-0.316539652024409,0.75533273780523,0.75533273780523,-0.162344625891356,0.162344625891356,0.557740364113374,0.557740364113374,-0.478884277915766,0.478884277915766,0.69278062433859,0.69278062433859,limma_multi(mod_F)
CD99,2.62255762255762,0.142783440554823,0.347282996944782,0.29940833358013,0.578911446023574,0.154720592021578,0.642857142857143,-0.135789298516334,0.749524510494447,0.225990142953171,0.545454545454545,0.508306173017244,0.993756499595822,0.299628858376028,0.818181818181818,0.435197632096464,-0.435197632096464,0.947061483837795,0.947061483837795,-0.208897839437114,0.208897839437114,1.15008279824804,1.15008279824804,-0.644095471533578,0.644095471533578,1.24472445638418,1.24472445638418,limma_multi(mod_F)
HS3ST1,2.69749619749619,0.346014558671595,0.584407153381468,0.251041088362376,0.514427688213506,0.137486582826079,0.857142857142857,0.0341943072840533,0.544429660439161,0.164151718947027,0.545454545454545,0.352601541893504,0.513545736306645,0.154839865455994,0.818181818181818,0.216846781078322,-0.216846781078322,0.749025701539402,0.749025701539402,-0.101560453531128,0.101560453531128,0.726887246881816,0.726887246881816,-0.31840723460945,0.31840723460945,0.748420255234073,0.748420255234073,limma_multi(mod_F)
WNT16,9.84967039014565,0.0297069277443245,0.121604721925056,0.0536716239345512,0.245607047095616,0.0656412444292175,0.357142857142857,-0.000409937595026653,0.0936252133120926,0.028229063952109,0.636363636363636,0.305129969322031,0.400930587325147,0.120885120466758,1,0.0540815615295778,-0.0540815615295778,0.262846917712122,0.262846917712122,-0.25145834538748,0.25145834538748,0.470178856857596,0.470178856857596,-0.305539906917058,0.305539906917058,0.411717155849282,0.411717155849282,limma_multi(mod_F)
HECW1,1.27149877149877,0.728222824692339,0.864133539078015,0.222850717123354,0.555804586450793,0.14854502403546,0.642857142857143,0.112311713674296,0.28890232759645,0.0871073292452513,0.545454545454545,0.0785921761602481,0.529702369859339,0.159711273762317,0.454545454545455,0.110539003449058,-0.110539003449058,0.62640505522416,0.62640505522416,0.144258540963106,-0.144258540963106,0.767791207916799,0.767791207916799,0.0337195375140476,-0.0337195375140476,0.603364861029582,0.603364861029582,limma_multi(mod_F)
