gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster1_penetrance,cluster2_mean,cluster2_sd,cluster2_sem,cluster2_penetrance,cluster3_mean,cluster3_sd,cluster3_sem,cluster3_penetrance,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,cluster1_cluster3_differential,cluster3_cluster1_differential,cluster1_cluster3_sd,cluster3_cluster1_sd,cluster2_cluster3_differential,cluster3_cluster2_differential,cluster2_cluster3_sd,cluster3_cluster2_sd,limma_test,Dys-CIM_(C2)_vs_C1_Fun-CIM,Dys-CIM_(C2)_vs_C3_Fun-CIM
RPL26L1,14.5303615303615,0.000807385165222023,0.00940068274927745,-0.28537867597486,0.453512460376159,0.121206303382892,0.214285714285714,0.446535635493311,0.376230321287085,0.113437710042193,1,-0.327765714454327,0.648406411091947,0.195501888841175,0.181818181818182,-0.731914311468172,0.731914311468172,0.589256146656292,0.589256146656292,0.0423870384794667,-0.0423870384794667,0.791267606857235,0.791267606857235,0.774301349947638,-0.774301349947638,0.74965333895136,0.74965333895136,limma_multi(mod_F),TRUE,TRUE
NOP16,13.6590031590032,0.000277097426052649,0.00440868305671292,-0.418601532359238,0.40845459389382,0.109164082028897,0.142857142857143,0.335581902873738,0.486276111753969,0.146617764290986,0.727272727272727,-0.639997699074163,0.68371251971017,0.206147081122464,0.181818181818182,-0.754183435232976,0.754183435232976,0.635058746995524,0.635058746995524,0.221396166714925,-0.221396166714925,0.796428254698059,0.796428254698059,0.975579601947901,-0.975579601947901,0.839003734479763,0.839003734479763,limma_multi(mod_F),TRUE,TRUE
RAD51,14.7430677430677,0.000249254175527589,0.0040972970765048,-0.87288897117663,1.02284706767395,0.273367377593023,0.142857142857143,0.662108677744334,0.891487962256723,0.268793734174915,0.818181818181818,-0.956909864957677,0.921485558604367,0.277838349783794,0.0909090909090909,-1.53499764892096,1.53499764892096,1.3568223578265,1.3568223578265,0.0840208937810472,-0.0840208937810472,1.37671774832956,1.37671774832956,1.61901854270201,-1.61901854270201,1.28214134227278,1.28214134227278,limma_multi(mod_F),TRUE,TRUE
THOC3,13.5532350532351,0.00122776573321853,0.0126274243325091,-0.275302693135623,0.543614334563107,0.145287042176732,0.214285714285714,0.468920766596393,0.427143820267591,0.128788707576964,0.909090909090909,-0.375829649994365,0.657052547146952,0.198108796948522,0.181818181818182,-0.744223459732016,0.744223459732016,0.691352578598852,0.691352578598852,0.100526956858742,-0.100526956858742,0.852780507783091,0.852780507783091,0.844750416590758,-0.844750416590758,0.783689921400735,0.783689921400735,limma_multi(mod_F),TRUE,TRUE
HEBP2,9.60284310284311,0.00374157390432954,0.0279508253954787,0.0178974635243746,0.242433848923837,0.0647931715449937,0.571428571428571,0.381046435036649,0.533327353790154,0.16080424754137,0.727272727272727,-0.26580497686623,0.486846315368291,0.146789687149423,0.272727272727273,-0.363148971512274,0.363148971512274,0.585843184994785,0.585843184994785,0.283702440390605,-0.283702440390605,0.543869015381192,0.543869015381192,0.646851411902879,-0.646851411902879,0.722120073871714,0.722120073871714,limma_multi(mod_F),TRUE,TRUE
MSMO1,8.98040248040246,0.00730268621414969,0.044781341897551,-0.341300068754455,0.626493832475959,0.167437519717999,0.428571428571429,0.3079319292124,0.71139614356331,0.214494007773209,0.727272727272727,-0.545055083817974,0.54077521783775,0.163049863044593,0.272727272727273,-0.649231997966855,0.649231997966855,0.947934066909278,0.947934066909278,0.203755015063519,-0.203755015063519,0.827606403043066,0.827606403043066,0.852987013030374,-0.852987013030374,0.893600754981896,0.893600754981896,limma_multi(mod_F),TRUE,TRUE
MRTO4,10.0661635661636,0.00137449949611544,0.0136520710515578,-0.293261907847836,0.352125498286346,0.09410949798104,0.142857142857143,0.371667275450224,0.68119941191689,0.205389350612643,0.727272727272727,-0.385600653402758,0.426374955587027,0.128556886153329,0.181818181818182,-0.66492918329806,0.66492918329806,0.766827885081994,0.766827885081994,0.0923387455549212,-0.0923387455549212,0.552980984569312,0.552980984569312,0.757267928852981,-0.757267928852981,0.803634395448425,0.803634395448425,limma_multi(mod_F),TRUE,TRUE
MRPS35,10.7397917397917,0.000893553980045368,0.0100969751754474,-0.0980751995678668,0.476223894657572,0.127276189514554,0.428571428571429,0.523143525178125,0.4476166146912,0.134961487350891,1,-0.20939403631323,0.441146538426947,0.133010685956935,0.363636363636364,-0.621218724745992,0.621218724745992,0.653567006197863,0.653567006197863,0.111318836745363,-0.111318836745363,0.649152883540468,0.649152883540468,0.732537561491355,-0.732537561491355,0.62846710503708,0.62846710503708,limma_multi(mod_F),TRUE,TRUE
MRPS24,11.7027612027612,0.00011945607354401,0.00241607331921327,-0.280367904932575,0.342425074914378,0.0915169507835715,0.214285714285714,0.373751142686882,0.44630569214152,0.134566229330299,0.818181818181818,-0.223956791800587,0.276589141489926,0.0833947639462369,0.0909090909090909,-0.654119047619457,0.654119047619457,0.562533290364258,0.562533290364258,-0.0564111131319878,0.0564111131319878,0.44017778808142,0.44017778808142,0.597707934487469,-0.597707934487469,0.525062209674297,0.525062209674297,limma_multi(mod_F),TRUE,TRUE
POLD1,9.54428454428455,0.00653045464410368,0.0410708739799207,-0.410299802799162,0.478699191834754,0.12793774051223,0.214285714285714,0.227214275001283,0.414337124743377,0.12492734358986,0.818181818181818,0.0181953504524675,0.549881106677601,0.165795391832272,0.454545454545455,-0.637514077800445,0.637514077800445,0.633109918737541,0.633109918737541,-0.428495153251629,0.428495153251629,0.729055654764593,0.729055654764593,0.209018924548816,-0.209018924548816,0.688508884780431,0.688508884780431,limma_multi(mod_F),TRUE,TRUE
