gene,endpoint,n_patients,n_events,coefficient,hazard_ratio,conf_low,conf_high,p_value,ph_p_value,model_status,warning_text,signature_direction,signature_r_rb,signature_correlation_p_value,signature_correlation_padj,fdr_all_genes,fdr_within_signature,association_direction,fdr_supported,nominal_p_below_0_05,expected_survival_direction,observed_survival_direction,direction_concordant
SLC25A34,RFS,20,6,-0.7685070478225196,0.46370484094300235,0.2034450902810756,1.0569052279261435,0.06750502037208558,0.5360842986439693,converged,NA,Fun-CIM,0.458,3.39083141837761e-5,3.3276345228088e-4,0.22014908187353086,0.49549603388762137,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
RPL37A,RFS,20,6,0.8060690732076629,2.2390889697559713,0.9432155997584936,5.315348278555345,0.06763526823258376,0.3138086675759164,converged,NA,Dys-CIM,-0.371,0.00168132060266181,0.0148172757663116,0.22014908187353086,0.08827720074512556,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
ZRANB3,RFS,20,6,1.4468789085941611,4.249829687458406,0.8952241968679396,20.17489298836179,0.06865432202528866,0.6690964916234228,converged,NA,Dys-CIM,-0.404,0.00064000820860061005,0.00732095720629479,0.2229759888584485,0.08931727331445322,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
DDX10,RFS,20,6,0.896515638615346,2.4510478784716563,0.9325240732701735,6.442338460489113,0.06902193294680456,0.3569545101709392,converged,NA,Dys-CIM,-0.408,7.0356925982127e-4,0.00779564545725312,0.223671571821286,0.08950586143424334,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
MKNK1-AS1,RFS,20,6,-0.9188909715808014,0.39896125519535197,0.1480636628802768,1.0750111138055156,0.06922593625773173,0.12303024286947795,converged,NA,Fun-CIM,0.35,0.00384174510242468,0.0116609416820248,0.223671571821286,0.49917020509197724,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
COL9A1,RFS,20,6,-1.2127131963835729,0.2973893082376575,0.08035223903188148,1.1006588207079315,0.06932157425116156,0.6417893702664121,converged,NA,Fun-CIM,0.382,0.00176238727192972,0.00636890244959932,0.223671571821286,0.49917020509197724,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
DPH5,RFS,20,6,1.0088470137212702,2.742437198988462,0.9211199192842346,8.165019160849239,0.06993098594561767,0.3854588687480021,converged,NA,Dys-CIM,-0.506,5.64465955219838e-5,0.00132963091674006,0.2248357018558022,0.09039310723517138,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
EPB41L3,RFS,20,6,1.0586139517176443,2.8823731109822446,0.9170710054347171,9.059358219460014,0.07001707119556953,0.0648013010026028,converged,NA,Fun-CIM,0.476,1.21995680831525e-5,1.6650054293744e-4,0.2248357018558022,0.49917020509197724,Higher change associated with higher relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Detrimental,FALSE
PPA2,RFS,20,6,0.855282903018536,2.352039685588836,0.9311836197293453,5.940923535782094,0.07042796923839584,0.2648408322270106,converged,NA,Dys-CIM,-0.552,1.44807947963148e-5,5.601746693039e-4,0.2248357018558022,0.09073756900435355,Higher change associated with higher relapse hazard,FALSE,FALSE,Detrimental (HR > 1),Detrimental,TRUE
TPH1,RFS,20,6,-0.6689998976503305,0.5122205947295299,0.24802829219553274,1.057822619115703,0.07059976291891644,0.4517113325468093,converged,NA,Fun-CIM,0.398,0.00176513166727917,0.00636890244959932,0.2248357018558022,0.49917020509197724,Higher change associated with lower relapse hazard,FALSE,FALSE,Beneficial (HR < 1),Beneficial,TRUE
