gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
ABCC8,49,0.504205116674078,0.967444989945265,0.000640719177663396,0.257135315574266,0.0857117718580885,-0.111848150851262,0.432406507059472,0.136738943738561,0.444444444444444,0.4,limma_2grp(mod_t),0.112488870028925,-0.112488870028925,0.503084444067644,0.503084444067644
ABCC9,27,0.145742498572302,0.520911898122938,-0.285459088659237,0.514564869766666,0.171521623255555,0.010641020163167,0.325423841047836,0.102908054263176,0.333333333333333,0.6,limma_2grp(mod_t),-0.296100108822404,0.296100108822404,0.608833048971812,0.608833048971812
ABCD1,12,0.00237442889730029,0.0333238808588062,-0.547440144821168,0.47824831672354,0.159416105574513,0.256612650683219,0.507559679733947,0.160504463642488,0.111111111111111,0.4,limma_2grp(mod_t),-0.804052795504387,0.804052795504387,0.697379581677386,0.697379581677386
ABCD2,46,0.736654069387017,1,-0.0283253156091164,0.281748653528647,0.0939162178428824,-0.10288781897705,0.599657783499903,0.189628441250783,0.555555555555556,0.5,limma_2grp(mod_t),0.0745625033679336,-0.0745625033679336,0.662549440477631,0.662549440477631
ABCD3,52,0.512777598586974,0.978569719659606,0.480298798054133,0.930410160413127,0.310136720137709,0.190480923238864,0.964360055494574,0.304957425984923,0.888888888888889,0.6,limma_2grp(mod_t),0.289817874815269,-0.289817874815269,1.34001991896892,1.34001991896892
ABCD4,3,0.000704908707233617,0.0164281007611296,-1.05470337670133,0.697794907559028,0.232598302519676,0.117851184586565,0.547775288943088,0.173221755901701,0,0.6,limma_2grp(mod_t),-1.1725545612879,1.1725545612879,0.887116396078889,0.887116396078889
ABCE1,54,0.526289260311737,0.996314255059271,0.0122069970461745,0.55461817214518,0.184872724048393,-0.159906771200575,0.605415040822099,0.191449045872165,0.333333333333333,0.3,limma_2grp(mod_t),0.17211376824675,-0.17211376824675,0.821053401751241,0.821053401751241
ABCF1,5,0.000568730713638909,0.0145020881444014,-1.19875143391018,0.927609274335828,0.309203091445276,0.737872574452857,1.06849142795263,0.3378866572696,0.111111111111111,0.7,limma_2grp(mod_t),-1.93662400836304,1.93662400836304,1.41496745455226,1.41496745455226
ABCF1-DT,45,1,1,0,0,0,0,0,0,0,0,limma_2grp(mod_t),0,0,0,0
ABCF2,10,0.00322810392472314,0.0403434966808777,-0.795736298527695,0.474100353375224,0.158033451125075,0.322679815278272,0.87585002343428,0.276968096276417,0,0.6,limma_2grp(mod_t),-1.11841611380597,1.11841611380597,0.995933937879587,0.995933937879587
ABCF2-H2BK1,10,0.00308318213428042,0.0391762133575998,-0.85367794330211,0.514573481067538,0.171524493689179,0.341207147971132,0.924540937013985,0.292365515103047,0,0.6,limma_2grp(mod_t),-1.19488509127324,1.19488509127324,1.05809347962865,1.05809347962865
ABCF3,4,0.000194723067252293,0.00784963332393145,-1.04851725949701,0.730784029937124,0.243594676645708,0.557399941996619,0.757593431854401,0.239572078504347,0,0.8,limma_2grp(mod_t),-1.60591720149363,1.60591720149363,1.05261251484108,1.05261251484108
ABCG1,12,0.00687803596974493,0.0671184159528348,-0.379660760977643,0.240129197623275,0.080043065874425,0.0223092905433194,0.322072510135706,0.10184827037565,0.111111111111111,0.7,limma_2grp(mod_t),-0.401970051520962,0.401970051520962,0.40173714458127,0.40173714458127
ABCG2,42,0.979985731643173,1,-0.795157015657202,0.839981876862686,0.279993958954229,-0.781718243181321,1.37556362643328,0.434991412601015,0.111111111111111,0.3,limma_2grp(mod_t),-0.013438772475881,0.013438772475881,1.61175210371323,1.61175210371323
ABCG4,20,0.0551837841038696,0.275280054997178,-0.096777799374822,0.0932486404720324,0.0310828801573441,-0.00667047627800039,0.0980406089677278,0.0310031627527949,0,0.3,limma_2grp(mod_t),-0.0901073230968216,0.0901073230968216,0.135304360449489,0.135304360449489
ABCG5,44,0.31210905685,0.759833024689956,-0.158948802663229,0.502140651037654,0.167380217012551,0.00625887358025771,0.0576543981037155,0.0182319215133834,0.111111111111111,0.2,limma_2grp(mod_t),-0.165207676243487,0.165207676243487,0.505439673002843,0.505439673002843
ABCG8,48,0.989090930944075,1,0.00547718437272987,0.0956357305011269,0.031878576833709,0.00597315646584229,0.0584983198766475,0.0184987930103306,0.444444444444444,0.5,limma_2grp(mod_t),-0.00049597209311242,0.00049597209311242,0.112108190498619,0.112108190498619
ABHD1,9,0.00397237932816454,0.0466390767018531,-0.731113210386372,0.593805989744281,0.19793532991476,0.0291332687119529,0.399245828354885,0.126252616392207,0,0.8,limma_2grp(mod_t),-0.760246479098325,0.760246479098325,0.715543698815777,0.715543698815777
ABHD10,44,0.956690948499001,1,0.144204697207956,0.800439895719806,0.266813298573269,0.1614384300654,0.560847498902374,0.177355551654029,0.555555555555556,0.6,limma_2grp(mod_t),-0.017233732857444,0.017233732857444,0.977370934540711,0.977370934540711
ABHD11,19,0.0378197257612712,0.213330758548669,-0.738756633554189,1.10223866793432,0.367412889311441,0.56385236156387,1.39600581886128,0.44145580144501,0.222222222222222,0.6,limma_2grp(mod_t),-1.30260899511806,1.30260899511806,1.77869680591836,1.77869680591836
ABHD12,19,0.0108649569453756,0.0910618176662342,-0.84533385450332,0.806046818100628,0.268682272700209,0.260562384644487,0.882134421414938,0.278955397410602,0.111111111111111,0.5,limma_2grp(mod_t),-1.10589623914781,1.10589623914781,1.19493623696631,1.19493623696631
