scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,rank_in_list,in_ora_universe,used_in_ora,analysis_label
"NKI.TNBCCL","Fun","Fun_only",0.3,"TTC24",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",22.7560993191007,0.000141653737819835,0.000826358717048391,"YES",3.40857583590744,0.000326514656482274,0.00176284653245099,"YES",0.468,568,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"MRO",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",21.1682927398038,0.000293243012409533,0.00139597721476394,"YES",3.4087358880611,0.00032632316389735,0.00176284653245099,"YES",0.45,569,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"CCDC142",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.1759895416204,0.000460991109699265,0.0019624521135792,"YES",3.40944935302488,0.000325470816613152,0.00176284653245099,"YES",0.433,570,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SSTR3",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.5201120503522,0.000620977776282875,0.00241838117977658,"YES",3.40928841734188,0.000325662898823697,0.00176284653245099,"YES",0.416,571,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"PDE4DIP",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.1687257873663,0.000728163330061537,0.00273602567407494,"YES",3.40895355235728,0.000326062909513113,0.00176284653245099,"YES",0.4,572,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"C1QB",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.6001106485557,0.000598847209981292,0.0023685747857469,"YES",3.40811041245763,0.000327072101040628,0.00176286318865965,"YES",0.419,573,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"UBAP1L",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.463572517952,0.000637104896767392,0.0024557497839034,"YES",3.40636958328623,0.000329164973320051,0.0017711414808084,"YES",0.414,574,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"COQ10A",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",25.7912632868387,3.48639531716986e-05,0.000325124255384169,"YES",3.40416463599818,0.000331833697308381,0.00177947918624056,"YES",0.487,575,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"SPX",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",19.8092386955346,0.000544614226657524,0.0022041075370184,"YES",3.40450490263417,0.000331420552267517,0.00177947918624056,"YES",0.425,576,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"PIWIL2",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.6855951804869,0.000365510839971343,0.00163096423855443,"YES",3.40244899205682,0.000333924102449472,0.00178767448786081,"YES",0.443,577,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"EPCIP-AS1",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",20.8482502607705,0.000339377408117873,0.00154948993570737,"YES",3.40149020737438,0.000335097648314802,0.00179094205317827,"YES",0.446,578,FALSE,FALSE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
"NKI.TNBCCL","Fun","Fun_only",0.3,"MARCHF11",2,2,"YES",2,"YES","YES","Fun","NO",NA,"YES","Fun",21.4865413626128,0.000253539656124866,0.00125555000927985,"YES",3.39910155992628,0.000338038033220248,0.00180332526723261,"YES",0.454,579,TRUE,TRUE,"NKI.TNBCCL | k_all_concordant | Fun-CIM | rho>=0.3 | all genes"
