"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"mcp_counter","B cell","Biopsy","wilcox_rank_sum",0.139756441685602,0.255825350882119,2,NA,25,11,3.702275,7.05380681818182,4.16652368197373,7.20373340952532
"mcp_counter","Cancer associated fibroblast","Biopsy","wilcox_rank_sum",0.130778145161627,0.243517925473375,2,NA,25,11,834.07625,360.269545454545,887.585890070869,254.54306832202
"mcp_counter","Endothelial cell","Biopsy","wilcox_rank_sum",0.0992690238263269,0.208175816956181,2,NA,25,11,8.30651875,6.70778409090909,4.18538530309162,4.60195207912526
"mcp_counter","Macrophage/Monocyte","Biopsy","wilcox_rank_sum",0.00110444420329964,0.00849491545288936,2,NA,25,11,12.1284285714286,27.6578571428571,6.77283320020677,17.0711589339136
"mcp_counter","Monocyte","Biopsy","wilcox_rank_sum",0.00110444420329964,0.00849491545288936,2,NA,25,11,12.1284285714286,27.6578571428571,6.77283320020677,17.0711589339136
"mcp_counter","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.0110442595198971,0.0378660326396471,2,NA,25,11,2.41473333333333,8.3994696969697,1.78490096467667,7.91740397682998
"mcp_counter","NK cell","Biopsy","wilcox_rank_sum",0.114076895455125,0.226245261070921,2,NA,25,11,0.25245,0.375909090909091,0.11484306547415,0.280993127645661
"mcp_counter","Neutrophil","Biopsy","wilcox_rank_sum",0.114170062299678,0.226245261070921,2,NA,25,11,8.03264285714286,5.95168831168831,4.28163034831661,2.50853728565943
"mcp_counter","T cell","Biopsy","wilcox_rank_sum",0.00486211367558536,0.0210043310785287,2,NA,25,11,3.29565714285714,6.14957792207792,2.03014560421654,2.97701571576174
"mcp_counter","T cell CD8+","Biopsy","wilcox_rank_sum",0.0110390939351656,0.0378660326396471,2,NA,25,11,3.2276,7.59590909090909,3.21868442328021,6.10441226416672
"mcp_counter","cytotoxicity score","Biopsy","wilcox_rank_sum",0.010005558888388,0.0366305206761322,2,NA,25,11,2.83908571428571,7.05837662337662,2.21865159569078,6.68232853136638
"quantiseq","B cell","Biopsy","wilcox_rank_sum",0.890740465989802,0.938536295872181,2,NA,25,11,0.0200836528648362,0.0260432047177373,0.0108044485062865,0.0225713015634436
"quantiseq","Macrophage M1","Biopsy","wilcox_rank_sum",0.0741356835039068,0.163401098335141,2,NA,25,11,0.0294774596527291,0.0429617702448739,0.0166000452643327,0.0296361884469117
"quantiseq","Macrophage M2","Biopsy","wilcox_rank_sum",0.94524142742881,0.963076171342561,2,NA,25,11,0.0456036089776635,0.0498300518811102,0.0173838203605859,0.0304190601340966
"quantiseq","Monocyte","Biopsy","wilcox_rank_sum",0.192242565006216,0.319418415702636,2,NA,25,11,0.00740637806547325,0.0136678891326533,0.0176037703155423,0.0165663829582056
"quantiseq","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.376067358976171,0.507690934617831,2,NA,25,11,0.00799925453307997,0.00913470128049262,0.00768705742005267,0.014813566251026
"quantiseq","NK cell","Biopsy","wilcox_rank_sum",0.257096546009365,0.405349298817684,2,NA,25,11,0.0117877952734518,0.00913692704837289,0.00732467552182132,0.00425673154981323
"quantiseq","Neutrophil","Biopsy","wilcox_rank_sum",0.47079976151308,0.608938613693565,2,NA,25,11,0.0306480991178353,0.0379673468133632,0.0152250890764774,0.0209282150790092
"quantiseq","T cell CD4+ (non-regulatory)","Biopsy","wilcox_rank_sum",0.00217092061130261,0.0130255236678157,2,NA,25,11,0.0329043015666426,0.00926515904669426,0.0269067182424259,0.0226044148496555
"quantiseq","T cell CD8+","Biopsy","wilcox_rank_sum",0.0134070106168033,0.0432226013914853,2,NA,25,11,0.0123888222674092,0.0275784778838819,0.0126547675920965,0.0179448782960071
"quantiseq","T cell regulatory (Tregs)","Biopsy","wilcox_rank_sum",0.0147577540794236,0.0455382125879357,2,NA,25,11,0.0137058658908543,0.0244808598196516,0.00713777341520938,0.012534896795408
"quantiseq","uncharacterized cell","Biopsy","wilcox_rank_sum",0.27179488795719,0.422357523732037,2,NA,25,11,0.787994761790025,0.749933612131169,0.0637771401994367,0.0960505724789538
"timer","B cell","Biopsy","wilcox_rank_sum",0.0992690238263269,0.208175816956181,2,NA,25,11,0.0987605952253865,0.12531322259514,0.0236083986816141,0.048634568735926
