"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"mcp_counter","Cancer associated fibroblast","Dys-CIM",11,360.269545454545,254.54306832202,576.928522727273,994.978851590704,216.658977272727,867.34741772744,0.755657737671463,0.755657737671463,0.698955035785644
"mcp_counter","Endothelial cell","Fun-CIM",25,8.30651875,4.18538530309162,13.8527125,13.176769305347,5.54619375,12.0446885510514,0.00215938408226768,0.00593830622623613,-0.227416186404578
"mcp_counter","Endothelial cell","Dys-CIM",11,6.70778409090909,4.60195207912526,5.52873579545455,3.1949833108659,-1.17904829545455,2.69803047148675,0.197326044882155,0.271323311712963,-0.256926813801057
"mcp_counter","Macrophage/Monocyte","Fun-CIM",25,12.1284285714286,6.77283320020677,21.0410571428571,22.6652521209026,8.91262857142857,19.4368438792952,0.0071304167510328,0.0130724307102268,-0.212644137607188
"mcp_counter","Macrophage/Monocyte","Dys-CIM",11,27.6578571428571,17.0711589339136,16.1833766233766,8.69271250079751,-11.4744805194805,17.9902671875285,0.0829604137452953,0.152094091866375,-0.302103576539922
"mcp_counter","Monocyte","Fun-CIM",25,12.1284285714286,6.77283320020677,21.0410571428571,22.6652521209026,8.91262857142857,19.4368438792952,0.0071304167510328,0.0130724307102268,-0.212644137607188
"mcp_counter","Monocyte","Dys-CIM",11,27.6578571428571,17.0711589339136,16.1833766233766,8.69271250079751,-11.4744805194805,17.9902671875285,0.0829604137452953,0.152094091866375,-0.302103576539922
"mcp_counter","Myeloid dendritic cell","Fun-CIM",25,2.41473333333333,1.78490096467667,5.25876666666667,3.601762365367,2.84403333333333,3.6152513686234,0.00014831462356524,0.00075053875739647,-0.239273372909213
"mcp_counter","Myeloid dendritic cell","Dys-CIM",11,8.3994696969697,7.91740397682998,4.21265151515152,3.78410041449348,-4.18681818181818,8.48923176423931,0.306556273379373,0.3746798896859,-0.270125026714572
"mcp_counter","NK cell","Fun-CIM",25,0.25245,0.11484306547415,0.34745,0.240837495458556,0.095,0.239628686830445,0.161765184977887,0.25420243353668,-0.251336239621249
"mcp_counter","NK cell","Dys-CIM",11,0.375909090909091,0.280993127645661,0.273068181818182,0.397708421631179,-0.102840909090909,0.142225987548306,0.045446946073126,0.124979101701096,-0.252204373334876
"mcp_counter","Neutrophil","Fun-CIM",25,8.03264285714286,4.28163034831661,10.6472714285714,4.13250569063895,2.61462857142857,2.53194142207041,0.000204692388380856,0.00075053875739647,-0.240280010054135
"mcp_counter","Neutrophil","Dys-CIM",11,5.95168831168831,2.50853728565943,5.38762987012987,3.9329428026085,-0.564058441558442,2.10732271794559,0.350528908982333,0.385581799880567,-0.254228214061705
"mcp_counter","T cell","Fun-CIM",25,3.29565714285714,2.03014560421654,4.35331428571429,4.21405747152306,1.05765714285714,3.84231531501737,0.467540508522352,0.467540508522352,-0.247112062102967
"mcp_counter","T cell","Dys-CIM",11,6.14957792207792,2.97701571576174,2.58464285714286,1.15497860877797,-3.56493506493507,3.02358048080967,0.00385729282994253,0.0280462730844856,-0.267396179065303
"mcp_counter","T cell CD8+","Fun-CIM",25,3.2276,3.21868442328021,5.5328,7.35429991569558,2.3052,6.0996681057251,0.225967837200517,0.310705776150711,-0.241637794832071
"mcp_counter","T cell CD8+","Dys-CIM",11,7.59590909090909,6.10441226416672,3.35,2.12884945451763,-4.24590909090909,5.53691693010732,0.00509932237899739,0.0280462730844856,-0.270384319954713
"mcp_counter","cytotoxicity score","Fun-CIM",25,2.83908571428571,2.21865159569078,4.38342857142857,5.91324551972355,1.54434285714286,4.90784393567469,0.294008063111738,0.35934318824768,-0.244976465989637
"mcp_counter","cytotoxicity score","Dys-CIM",11,7.05837662337662,6.68232853136638,5.39766233766234,8.18755846273509,-1.66071428571429,3.26817623734819,0.142368182702515,0.223721429961095,-0.25904038316734
"quantiseq","B cell","Fun-CIM",25,0.0200836528648362,0.0108044485062865,0.0187632976231834,0.00785007634312481,-0.0013203552416528,0.00888935509769847,0.609189087616086,0.670107996377695,-0.0595522738361913
"quantiseq","B cell","Dys-CIM",11,0.0260432047177373,0.0225713015634436,0.0124170213900072,0.014250585575046,-0.0136261833277301,0.0195472612047442,0.0144832770523174,0.0398290118938729,-0.61458475361475
