analysis,sig_mode,group,group_members,cim,rho_threshold,gene
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LYL1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LZTR1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"LZTS1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MACF1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAGEL2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAMDC4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAML3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAN1C1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAN2C1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAP3K14"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAP3K2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAP3K5"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAPKBP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MARCKS"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MARF1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MAST3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MCC"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MCL1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MEF2B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MEGF8"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MEIS2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MGA"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MICAL1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MINAR1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MLKL"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MLXIP"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MOB3A"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MOB3C"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MPP1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MSC"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MSL2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MSMP"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MTMR3"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MVP"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MYLK"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MYO18A"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MYO1F"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"MYO9B"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"N4BP2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NATD1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NBEAL2"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NBPF1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NBPF10"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NBPF11"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NBPF12"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NBPF14"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NBPF9"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NCF4"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NCOA1"
"overlap_BH","padj","NKI.NEO","nki_smc;neo","Fun",0.3,"NDST2"
