scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"CTDSP2",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.42213169047975,0.151192297656461,0.376084847644164,"NO",-3.11457359947428,0.999078945033923,0.999999999998396,"NO",0.512
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"GOLGA8S",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.72148676937174,0.15135899087031,0.37631158540899,"NO",-2.08006615477873,0.981240267285685,0.999999999998396,"NO",0.43
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"PRPF6",3,3,"YES",1,"NO","YES","Dys","YES","Fun","YES","Fun",9.41855965050696,0.151370670176684,0.37631158540899,"NO",-0.597759930431258,0.72499993473003,0.999999999998396,"NO",0.459
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"NDRG3",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.7198530941144,0.151454301947686,0.376411051701206,"NO",-1.01445770100328,0.844817798353969,0.999999999998396,"NO",0.454
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"ARSG",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.71854411819287,0.151530709046373,0.376492510325698,"NO",-1.10475107604566,0.865366267505891,0.999999999998396,"NO",0.464
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"RNF175",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.71726222219608,0.151605569491362,0.376519356741751,"NO",-0.774888220693712,0.780797143427291,0.999999999998396,"NO",0.425
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"SLC20A2",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.71675622515045,0.151635128095043,0.376519356741751,"NO",-0.609262583554731,0.728824798145593,0.999999999998396,"NO",0.404
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"AGMAT",3,3,"YES",1,"NO","YES","Dys","YES","Fun","YES","Fun",9.41252529837472,0.151672416738246,0.376519356741751,"NO",0.18606495122999,0.426196913394076,0.999999999998396,"NO",0.372
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"HOXC13-AS",3,3,"YES",1,"NO","YES","Dys","YES","Fun","YES","Fun",9.40367079178678,0.152116133264327,0.377512255949921,"NO",-0.1660179976307,0.565928606671265,0.999999999998396,"NO",0.423
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"ANKRD52",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.70707506023579,0.152201680809155,0.37761595851127,"NO",-1.59548746481019,0.944698364539568,0.999999999998396,"NO",0.514
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"SLAIN1",3,2,"NO",1,"NO","YES","Fun","NO",NA,"YES","Dys",6.70589228169087,0.152271030398718,0.377679425498862,"NO",-1.28753252884113,0.901045630383717,0.999999999998396,"NO",0.366
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"SUN1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.7010884673166,0.152552987358208,0.378270036756889,"NO",-1.65599885601978,0.951138974754815,0.999999999998396,"NO",0.519
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"PGM3",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.69953260641885,0.15264440957839,0.378387994901444,"NO",-1.19817941844991,0.88457641196373,0.999999999998396,"NO",0.473
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"WTIP",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.69661675761534,0.152815878956761,0.378632718984488,"NO",-1.31714817969402,0.906105520014767,0.999999999998396,"NO",0.486
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"ETF1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.69633444256534,0.152832490084944,0.378632718984488,"NO",-0.817301936229116,0.793122049725119,0.999999999998396,"NO",0.43
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"COPRS",3,3,"YES",1,"NO","YES","Dys","YES","Fun","YES","Fun",9.38858392275099,0.152874770302695,0.378632718984488,"NO",-0.0682425108202304,0.527203706457264,0.999999999998396,"NO",0.411
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"MAP4K3-DT",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.69044455449075,0.153179420319372,0.37927839825993,"NO",-0.038641362303817,0.515411837723107,0.999999999998396,"NO",0.322
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"IGFBP4",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.36731480586427,0.153949872869794,0.380971471589287,"NO",-1.83945329858594,0.96707572954302,0.999999999998396,"NO",0.425
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"GLYCTK",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.67712272376227,0.153966758747161,0.380971471589287,"NO",-0.502592183946394,0.692374487178023,0.999999999998396,"NO",0.389
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"ZNF217",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.67663500518126,0.153995653366953,0.380971471589287,"NO",-0.845731759470463,0.801148799201719,0.999999999998396,"NO",0.432
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"CCDC85C",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.67564471424404,0.154054337796931,0.380993570090649,"NO",-2.76254576785992,0.997132373983903,0.999999999998396,"NO",0.599
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"CBR3-AS1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.67499431539905,0.154092891368219,0.380993570090649,"NO",-0.397917540521605,0.654654515021161,0.999999999998396,"NO",0.374
"ALL3_NKI.NEO.TNBCCL","Dys","none",0.3,"WLS",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.67352087526144,0.154180264690768,0.381100402181793,"NO",-0.160096904204448,0.563597630095722,0.999999999998396,"NO",0.34
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"GNB2",3,3,"YES",1,"NO","YES","Dys","YES","Fun","YES","Fun",9.35507237259073,0.154571676161226,0.381958474683625,"NO",-1.20404987945002,0.885714849873525,0.999999999998396,"NO",0.521
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"BMS1",3,2,"NO",1,"NO","NO",NA,"YES","Fun","YES","Dys",6.66472039167725,0.154703062927449,0.382107629226445,"NO",-1.32299832806421,0.907082033080373,0.999999999998396,"NO",0.485
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"PTPRJ",3,3,"YES",1,"NO","YES","Fun","YES","Fun","YES","Dys",9.35214663127834,0.154720599897694,0.382107629226445,"NO",-3.22361620429661,0.999367085360181,0.999999999998396,"NO",0.549
"ALL3_NKI.NEO.TNBCCL","Dys","Fun_only",0.3,"CATSPER2",3,2,"NO",1,"NO","YES","Fun","YES","Dys","NO",NA,6.66260370752598,0.154829046294045,0.38226604877577,"NO",-1.67949897249752,0.953472580526798,0.999999999998396,"NO",0.474
