"","gene_id","H_value","p_value","stat_test_adj_p","cluster1_mean","cluster1_sd","cluster1_sem","cluster2_mean","cluster2_sd","cluster2_sem","cluster1_penetrance","cluster2_penetrance","cluster1_cluster2_pval","cluster1_cluster2_differential","cluster2_cluster1_differential","cluster1_cluster2_sd","cluster2_cluster1_sd"
"4529","FARSB",27,0.00125524097256497,0.0226441486558744,-0.37150159527063,0.285644392903779,0.0763416751927844,0.0318038664779314,0.233869915739332,0.0648638440758925,0.142857142857143,0.538461538461538,NA,-0.403305461748561,0.403305461748561,0.369171852509493,0.369171852509493
"4530","ALMS1",77,0.518594995587861,0.673270074235,-0.197346931507536,0.332487453812802,0.0888610098263092,-0.103770824072961,0.370357272059177,0.102718625742333,0.285714285714286,0.384615384615385,NA,-0.093576107434575,0.093576107434575,0.497707158789218,0.497707158789218
"4531","BCL9",50,0.0481728760662668,0.177910300572693,-0.490845015311819,0.449000753128747,0.120000498900803,-0.262360912904318,0.223052069116728,0.0618635132537462,0.214285714285714,0.153846153846154,NA,-0.228484102407501,0.228484102407501,0.501352073744026,0.501352073744026
"4532","PRRX1",41,0.0161406572382263,0.10018701412296,-0.868323607659349,0.892111661421676,0.238426870556114,0.0385952829470021,0.389613335996564,0.10805929696463,0.285714285714286,0.384615384615385,NA,-0.906918890606351,0.906918890606351,0.973479207806163,0.973479207806163
"4533","DHCR24",114,0.279954033990917,0.502131278666886,0.542377376057869,1.01651599328848,0.27167532679012,0.0778139655439482,0.349493510271085,0.0969320593634074,0.642857142857143,0.538461538461538,NA,0.464563410513921,-0.464563410513921,1.07491882406667,1.07491882406667
"4534","DNAJC16",88,0.905062742106759,0.957166083875114,-0.274179207051072,0.468639659501872,0.125249217407886,-0.215380167915422,0.323531541117063,0.0897315046713428,0.357142857142857,0.230769230769231,NA,-0.05879903913565,0.05879903913565,0.569469743318828,0.569469743318828
"4535","MARK1",116.5,0.225000174699496,0.430869392579334,0.0740787676562405,0.378094610055174,0.10105003504374,-0.114581061368776,0.295830056302372,0.0820484951401232,0.5,0.384615384615385,NA,0.188659829025016,-0.188659829025016,0.480073907189965,0.480073907189965
"4536","TNR",104,0.528087473697338,0.682445464139539,0.032158200084774,0.0370252188913496,0.00989540598298144,0.0834687749034439,0.182400632849943,0.0505888334167347,0.714285714285714,0.461538461538462,NA,-0.0513105748186699,0.0513105748186699,0.186120546146878,0.186120546146878
"4537","MORN1",155,0.00125524097256497,0.0226441486558744,0.0801302922931717,0.327710152585884,0.0875842223674135,-0.395486270388603,0.352632221715315,0.0978025812904119,0.785714285714286,0.0769230769230769,NA,0.475616562681775,-0.475616562681775,0.481397370059021,0.481397370059021
"4538","GPX7",89,0.941661916194741,0.982243461894926,0.109034081054513,0.903171827025541,0.241382824151159,-0.0486129750888722,0.118894143125524,0.0329753022608792,0.428571428571429,0.230769230769231,NA,0.157647056143385,-0.157647056143385,0.91096386668309,0.91096386668309
