family,test,scope,GeneSet,analysis_pool,standalone,n_scope_datasets,k_datasets,all_datasets_present,meta_direction,k_concordant,direction_concordant,n_up,n_down,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,stouffer_sig_nominal,fisher_stat,fisher_p,fisher_padj,fisher_sig,min_p_dataset,max_p_dataset,mean_n_genes,datasets,nki_smc_direction,nki_smc_p_value,neo_direction,neo_p_value,tnbc_cl_direction,tnbc_cl_p_value
"zscore","Fry","NEO.TNBCCL","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-4.15858890556818,3.20219599388725e-05,0.000138761826401781,"YES","YES",27.7320461303368,1.41337530581022e-05,0.000183738789755328,"YES",1.2276046104781e-06,0.774469262625979,67,"neo;tnbc_cl","Down",0.343595375551401,"Down",1.2276046104781e-06,"Down",0.774469262625979
"zscore","Fry","NEO.TNBCCL","REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.88396643725994,0.000102766099653589,0.00024318968155767,"YES","YES",21.9718383839426,0.000203023944672676,0.000318071559908434,"YES",5.02100200258411e-05,0.33735373415236,196.5,"neo;tnbc_cl","Up",0.19599909461155,"Down",5.02100200258411e-05,"Down",0.33735373415236
"zscore","Fry","NEO.TNBCCL","GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.87882369931761,0.000104962788593123,0.00024318968155767,"YES","YES",22.6823479795846,0.000146536965236141,0.000318071559908434,"YES",2.51826678832967e-05,0.471507906934077,89,"neo;tnbc_cl","Down",6.28593730611951e-05,"Down",2.51826678832967e-05,"Down",0.471507906934077
"zscore","Fry","NEO.TNBCCL","GOBP_INFLAMMATORY_CELL_APOPTOTIC_PROCESS","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.8347908974622,0.00012567116060393,0.00024318968155767,"YES","YES",20.7169802048697,0.000360317629447864,0.000468412918282224,"YES",0.000154341008100854,0.205533953023574,23,"neo;tnbc_cl","Down",0.000474397697243125,"Down",0.000154341008100854,"Down",0.205533953023574
"zscore","Fry","NEO.TNBCCL","GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.82466825913902,0.000130948290069515,0.00024318968155767,"YES","YES",24.25656531581,7.09515169930772e-05,0.000307456573636668,"YES",6.3427515648368e-06,0.852071551537089,334,"neo;tnbc_cl","Down",0.79854964129205,"Down",6.3427515648368e-06,"Down",0.852071551537089
"zscore","Fry","NEO.TNBCCL","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.66545810437622,0.000246896229593538,0.000401206373089499,"YES","YES",18.9926402442196,0.000788565259454675,0.000931940761173707,"YES",0.000410628379025437,0.182958087517368,117,"neo;tnbc_cl","Down",0.000184735724797082,"Down",0.000410628379025437,"Down",0.182958087517368
"zscore","Fry","NEO.TNBCCL","GOBP_CELLULAR_RESPONSE_TO_STRESS","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",2,"YES",0,2,-3.60678303002377,0.000310016676410752,0.000447801865926642,"YES","YES",22.2105324765541,0.00018197783681328,0.000318071559908434,"YES",1.63272583192266e-05,0.920727020878156,1920.5,"neo;tnbc_cl","Down",0.81529747968005,"Down",1.63272583192266e-05,"Down",0.920727020878156
"zscore","Fry","NEO.TNBCCL","HALLMARK_INFLAMMATORY_RESPONSE","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",1,"NO",1,1,-3.4437218084182,0.000573765739065651,0.000745895460785346,"YES","YES",21.8399559024353,0.000215669775053753,0.000318071559908434,"YES",2.00383521811391e-05,0.902925312316157,200,"neo;tnbc_cl","Down",9.2847128894544e-06,"Down",2.00383521811391e-05,"Up",0.902925312316157
"zscore","Fry","NEO.TNBCCL","WP_MOLECULAR_PATHWAY_FOR_OXIDATIVE_STRESS","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",1,"NO",1,1,-2.8411106391386,0.00449567124006057,0.00531306601098068,"YES","YES",17.0236438913292,0.00191260994684802,0.00207199410908535,"YES",0.000261380386305093,0.769289318885828,48,"neo;tnbc_cl","Down",0.0521542452907258,"Down",0.000261380386305093,"Up",0.769289318885828
"zscore","Fry","NEO.TNBCCL","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","19 a priori immune/stress pathways",FALSE,2,2,"YES","Fun-CIM",1,"NO",1,1,-2.02325375628072,0.0430469919587947,0.0466342412886943,"YES","YES",21.7945354396938,0.000220203387628916,0.000318071559908434,"YES",0.000239993890614916,0.0771216966239895,113,"neo;tnbc_cl","Up",0.176486248816664,"Down",0.000239993890614916,"Up",0.0771216966239895
