gene_id,H_value,p_value,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,cluster1_cluster2_pval,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd
AARSD1,49.5,0.607148751367279,0.745739230214793,-0.0118482752139379,0.0976244611216206,0.0308715652490877,0,0,0,0.2,0,,-0.0118482752139379,0.0118482752139379,0.0976244611216206,0.0976244611216206
AASDH,43,0.904825824330468,0.96629184705919,-0.0908172971431956,0.213443097216236,0.0674966338044052,-0.0595859572502245,0.216671848794814,0.0722239495982712,0.5,0.444444444444444,,-0.0312313398929711,0.0312313398929711,0.304145764082655,0.304145764082655
AASDHPPT,31,0.277511961722488,0.513258304285578,-0.561848314564304,0.686069474423381,0.216954217229252,-0.11058015150932,0.865314747981043,0.288438249327014,0.3,0.555555555555556,,-0.451268163054984,0.451268163054984,1.10429205231636,1.10429205231636
AASS,11,0.00413518370174717,0.0305335873048272,-0.863375607469119,0.679589951004636,0.214905212013688,0.0804579280705076,0.625487793455346,0.208495931151782,0.1,0.666666666666667,,-0.943833535539627,0.943833535539627,0.923621936328994,0.923621936328994
AATBC,31,0.270133942215978,0.513258304285578,-0.0643329203976636,0.147585112740604,0.0466705104993045,-0.0329679442720905,0.0691409573225301,0.0230469857741767,0.3,0.222222222222222,,-0.0313649761255731,0.0313649761255731,0.162978027605358,0.162978027605358
AATF,26,0.133300136396112,0.324050368883106,-0.559854886203125,0.921754026294031,0.291484216551987,0.247666995397937,0.490053241437317,0.163351080479106,0.4,0.666666666666667,,-0.807521881601062,0.807521881601062,1.04392656084251,1.04392656084251
AATK,26,0.133300136396112,0.324050368883106,-0.307491911096741,0.406107038258037,0.128422321472054,0.0117973759959759,0.46327706395338,0.15442568798446,0.2,0.666666666666667,,-0.319289287092717,0.319289287092717,0.616075128947744,0.616075128947744
ABALON,7,0.000974257940202213,0.0126087553184561,-1.35969008573107,0.861231463056374,0.27234530158573,0.0590480156786125,0.748105503736682,0.249368501245561,0,0.444444444444444,,-1.41873810140968,1.41873810140968,1.14078108227623,1.14078108227623
ABAT,24,0.094719521964104,0.256735352238762,-0.783660145484735,1.21660243973809,0.384723471649011,0.437377978073157,1.4608769709935,0.486958990331167,0.3,0.555555555555556,,-1.22103812355789,1.22103812355789,1.90112677661323,1.90112677661323
ABCA1,8,0.00145056182207885,0.0159800904025719,-1.3274874317999,0.792635626700671,0.250653393496909,0.106261901299504,0.872912871236821,0.29097095707894,0,0.666666666666667,,-1.4337493330994,1.4337493330994,1.17908783281233,1.17908783281233
ABCA10,35,0.446967892788326,0.610214651452321,-0.636749709889917,1.45571852939701,0.460338618500532,-0.217827663075137,1.45375369571621,0.484584565238738,0.3,0.555555555555556,,-0.41892204681478,0.41892204681478,2.05730800918052,2.05730800918052
ABCA11P,19,0.0349866851414839,0.13147750118408,-0.382628782930686,0.615839186219242,0.194745450083738,0.149642337340276,0.22695783840149,0.0756526128004967,0.3,0.888888888888889,,-0.532271120270962,0.532271120270962,0.656329005678597,0.656329005678597
ABCA12,45,1,1,0.0788220244754245,1.03053588073972,0.325884059366515,0.131930342120493,1.96815326773947,0.65605108924649,0.2,0.444444444444444,,-0.0531083176450685,0.0531083176450685,2.22162811622592,2.22162811622592
ABCA13,32.5,0.326974615026912,0.552952426109067,-0.0254896922011565,0.117301537498554,0.0370940031535081,0.0263039315744303,0.0975664185621651,0.0325221395207217,0.3,0.444444444444444,,-0.0517936237755868,0.0517936237755868,0.152574102424272,0.152574102424272
ABCA15P,27,0.0832976381088835,0.241588175955052,-0.0379744863104102,0.0498010764625523,0.0157484831549866,-0.00514155171503539,0.027108564528406,0.00903618817613534,0,0.111111111111111,,-0.0328329345953748,0.0328329345953748,0.056701159490964,0.056701159490964
ABCA17P,36.5,0.513444337525733,0.678234677559712,0.0552157197658026,0.18201062237412,0.0575568125047023,0.0298373890533069,0.26565209753103,0.08855069917701,0.6,0.666666666666667,,0.0253783307124957,-0.0253783307124957,0.322023141372868,0.322023141372868
ABCA2,15,0.013271558163199,0.0670523674207757,-0.84026222223431,0.751745595313604,0.237722830219019,0.260605097744657,0.731762241451479,0.243920747150493,0.2,0.666666666666667,,-1.10086731997897,1.10086731997897,1.04909361740862,1.04909361740862
ABCA3,10,0.00298772434995345,0.0248009666183238,-0.903007045903863,1.07094629705451,0.338662955041552,0.637114248604069,0.921104815014762,0.307034938338254,0.2,0.555555555555556,,-1.54012129450793,1.54012129450793,1.41257214025272,1.41257214025272
ABCA4,46.5,0.934896814773755,0.995483918239593,-0.0102162026327242,0.181299088788985,0.057331805828629,0.0213068936846874,0.0784997079402751,0.026166569313425,0.6,0.555555555555556,,-0.0315230963174116,0.0315230963174116,0.197564075029912,0.197564075029912
ABCA5,25,0.112754118946069,0.287510869725033,-0.722100481339249,0.771940359651557,0.244108975430846,-0.177255509299961,0.581084286582724,0.193694762194241,0.2,0.444444444444444,,-0.544844972039288,0.544844972039288,0.966204360874204,0.966204360874204
ABCA6,37,0.548961874039274,0.706288131044656,-0.858726347786952,1.66078883631956,0.525187543535037,-0.378124806758956,1.83534582014169,0.611781940047229,0.2,0.555555555555556,,-0.480601541027996,0.480601541027996,2.47521995757049,2.47521995757049
ABCA7,24,0.094719521964104,0.256735352238762,-0.0463649269647257,0.437224087026214,0.138262396289051,0.25268763269448,0.450663687294299,0.1502212290981,0.3,0.777777777777778,,-0.299052559659206,0.299052559659206,0.627903385340134,0.627903385340134
ABCA8,34,0.400181861482171,0.562113974409261,-0.785098676962645,1.35394234058846,0.428154161679898,-0.242780232839211,1.50658994644046,0.502196648813487,0.3,0.555555555555556,,-0.542318444123434,0.542318444123434,2.02557970180233,2.02557970180233
ABCA9,35,0.446967892788326,0.610214651452321,-0.591331762762214,1.41007697441656,0.44590549153153,-0.219962065499095,1.38657008820342,0.46219002940114,0.3,0.555555555555556,,-0.371369697263119,0.371369697263119,1.97759795794803,1.97759795794803
ABCA9-AS1,45,,,0,0,0,0,0,0,0,0,,0,0,0,0
ABCB1,19,0.0349866851414839,0.13147750118408,-1.2379796421335,1.28032871722214,0.404875490014361,-0.0307183390599499,1.05254689048754,0.350848963495846,0.1,0.666666666666667,,-1.20726130307355,1.20726130307355,1.65743675017138,1.65743675017138
ABCB10,19,0.0349866851414839,0.13147750118408,-0.311077364792366,0.596463724669769,0.188618391162403,0.234002981063383,0.494824793415177,0.164941597805059,0.5,0.777777777777778,,-0.545080345855749,0.545080345855749,0.774997129688431,0.774997129688431
ABCB11,28,0.182316135876507,0.397995819231253,-0.0309160955808409,0.091466365544489,0.0289242044418132,-0.0366471105570184,0.381257709702827,0.127085903234276,0.3,0.666666666666667,,0.0057310149761775,-0.0057310149761775,0.392075932994826,0.392075932994826
