scope,cim,cim_class,rho_threshold,gene,n_scope_datasets,k_datasets,all_datasets_contributed,k_concordant,direction_concordant,nki_smc,nki_smc_dir,neo,neo_dir,tnbc_cl,tnbc_cl_dir,fisher_stat,fisher_p,fisher_padj,fisher_sig,stouffer_Z,stouffer_p,stouffer_padj,stouffer_sig,mean_abs_rrb,neg_log10_stouffer,cim_label,highlight,proteostasis_branch,is_proteostatic
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"P2RX1",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.772262825193,0.000000504944098118864,0.0000106793201535972,"YES",5.14503751606455,0.000000133733676900668,0.00000425736379121076,"YES",0.497,5.37085923782733,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"PLPPR4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.7662778870699,0.000000506312607333444,0.0000106820818794139,"YES",4.9007950789508,0.000000477247882928857,0.00000952447789642827,"YES",0.516,5.02115882173264,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"IKZF4",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.6279980862473,0.000000538979112669552,0.0000110734541981561,"YES",5.20960245352569,0.0000000946228419990807,0.00000343067438491625,"YES",0.525,5.46462050011487,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MYH3",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.5814054008308,0.000000550451331655984,0.0000112135033945882,"YES",5.11976834704423,0.000000152955595978965,0.00000466379447951408,"YES",0.53,5.33126059598051,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"ZNF366",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.5551796659515,0.000000557015190742812,0.0000112828264810322,"YES",5.05297734967058,0.000000217487749590341,0.00000564089953651324,"YES",0.501,5.24865163491855,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"AGAP5",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.5342539866741,0.000000562308313415759,0.0000113368187767864,"YES",5.19941205307406,0.0000000999599459025445,0.00000353505890652892,"YES",0.538,5.45160334493149,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"LINC00891",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.4831102501256,0.000000575456496418385,0.0000115211464213324,"YES",5.11640179290999,0.000000155709656126202,0.0000046979672122832,"YES",0.516,5.32809001854483,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"MAP3K6",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.3389801106809,0.000000614177480606951,0.0000120765347467823,"YES",4.77048814073076,0.000000918900031247068,0.0000144061196083441,"YES",0.543,4.84145298376812,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"SZT2",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.2335457984249,0.000000644133225681187,0.0000124623892475403,"YES",5.18312083794591,0.000000109101782656343,0.00000371584285539115,"YES",0.527,5.42994266079238,"Fun-CIM","background",NA,FALSE
"ALL3_NKI.NEO.TNBCCL","Fun","Fun_only",0.3,"STARD9",3,3,"YES",3,"YES","YES","Fun","YES","Fun","YES","Fun",39.2251421141114,0.000000646582448456398,0.0000124655096871314,"YES",5.19041835244496,0.000000104911057056722,0.00000366509113903828,"YES",0.524,5.43591522138049,"Fun-CIM","background",NA,FALSE
