cohort,gene,nonfinite_n,variance,finite_complete,variable,retained,exclusion_reason
METABRIC,ADAM21,0,0.019444661610727308,TRUE,TRUE,TRUE,retained
METABRIC,ADAM22,0,0.04519800307218564,TRUE,TRUE,TRUE,retained
METABRIC,ADAM23,0,0.02478295114052591,TRUE,TRUE,TRUE,retained
METABRIC,ADAM28,0,0.07549463461923801,TRUE,TRUE,TRUE,retained
METABRIC,ADAM29,0,0.025811153635209187,TRUE,TRUE,TRUE,retained
METABRIC,ADAM30,0,0.01900775771409104,TRUE,TRUE,TRUE,retained
METABRIC,ADAM32,0,0.13950466484491497,TRUE,TRUE,TRUE,retained
METABRIC,ADAM33,0,0.02036015213273033,TRUE,TRUE,TRUE,retained
METABRIC,ADAM3A,0,0.0182204202067555,TRUE,TRUE,TRUE,retained
METABRIC,ADAM5,0,0.01978007843003357,TRUE,TRUE,TRUE,retained
METABRIC,ADAM5.1,0,0.010764895726596998,TRUE,TRUE,TRUE,retained
METABRIC,ADAM6,0,0.028385371576766395,TRUE,TRUE,TRUE,retained
METABRIC,ADAM7,0,0.17995819413342884,TRUE,TRUE,TRUE,retained
METABRIC,ADAM8,0,0.35399227711358267,TRUE,TRUE,TRUE,retained
METABRIC,ADAM9,0,0.3703991426173689,TRUE,TRUE,TRUE,retained
METABRIC,ADAMDEC1,0,1.3899804283130373,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS1,0,0.3717279262582879,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS10,0,0.021777263670550717,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS12,0,0.017161170625249328,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS13,0,0.035070580837689894,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS14,0,0.04062474231808192,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS15,0,0.028032755203961108,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS16,0,0.014528756909149457,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS17,0,0.028584636093292228,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS18,0,0.02835797218290098,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS19,0,0.10937565177396645,TRUE,TRUE,TRUE,retained
METABRIC,ADAMTS2,0,0.08185236826429344,TRUE,TRUE,TRUE,retained
