gene,signature,meta_scope_used,rho_threshold,k_datasets,n_scope_datasets,k_concordant,direction_concordant,fisher_padj,stouffer_padj,mean_abs_rrb,r_rb,source_p_adjust,passes_fisher,passes_stouffer,passes_k_mode,passes_effect_floor,selected,selection_source
MYLIP,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.6209952065151e-4,9.41232497857877e-5,0.454,0.454,9.41232497857877e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MYO15B,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.59204855843263e-5,9.10366694376942e-6,0.477,0.477,9.10366694376942e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MYOM1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,4.04563386695771e-5,3.04029692839264e-5,0.473,0.473,3.04029692839264e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
MZF1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.947503109166e-4,2.5105286299388e-4,0.455,0.455,2.5105286299388e-4,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NAPB,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.99224003500787e-5,1.7045921865887e-5,0.523,0.523,1.7045921865887e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NATD1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.23303717560845e-5,7.14498715407906e-6,0.52,0.52,7.14498715407906e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NBPF1,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,9.91893083844001e-6,5.12394342400636e-6,0.544,0.544,5.12394342400636e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NBPF11,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,8.92314104413414e-6,3.24769590751435e-6,0.546,0.546,3.24769590751435e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NBPF12,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,2.60043947463495e-6,1.04529838160294e-6,0.586,0.586,1.04529838160294e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NCKAP1L,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,1.87690397517693e-5,6.43921755836407e-6,0.506,0.506,6.43921755836407e-6,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
NCKAP5L,Fun-CIM,ALL3_NKI.NEO.TNBCCL,0.3,3,3,3,YES,5.83756529357126e-5,4.10943957342044e-5,0.509,0.509,4.10943957342044e-5,TRUE,TRUE,TRUE,TRUE,TRUE,cimic meta_results.csv
