rowname,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0070673,GO:0070673,response to interleukin-18,7/1487,18/16754,0.388888888888889,4.38160352686244,4.47979388336373,0.000565854042271551,0.00466664366363373,0.00349978374561694,CASP1/CASP4/CYLD/IL18/IL18R1/IL18RAP/NLRP3,7
GO:0060537,GO:0060537,muscle tissue development,58/1487,423/16754,0.137115839243499,1.5448814866749,3.54234431494682,0.000566315777689797,0.00466664366363373,0.00349978374561694,ABCC9/ADAMTS9/AKAP13/ALDH1A2/BTG2/CACNA1G/CFLAR/CNTNAP1/COL14A1/COL3A1/COL6A1/CYP26B1/DDX17/DLL1/EGR2/ENG/FES/FOXP2/GLI1/GPCPD1/HDAC9/HEG1/HLX/HOPX/HOXD9/IGF1/IGF2/KCNJ8/MEF2C/MEIS1/MEOX2/MSC/MYH11/MYOM1/NOTCH1/NPR2/PDGFRA/PDGFRB/PGM5/PKD2/PPARA/PRKAA1/PRKG1/PROX1/PTCH1/RARB/RBPJ/RGS2/S1PR1/SHOX2/SLC8A1/SPG11/STAC3/TENM4/TFAP2B/TGFBR3/VAMP5/ZFPM2,58
GO:0031334,GO:0031334,positive regulation of protein-containing complex assembly,33/1487,205/16754,0.160975609756098,1.81370905571867,3.65834894507241,0.000577217628454838,0.00474943216064914,0.00356187158798564,ABCA1/ATM/BMF/BTK/CCL24/CD36/CDH5/FCHSD1/FCHSD2/FES/FNIP2/GBP2/HCK/KIRREL1/LMOD1/MAP1B/NAV3/NCKAP1L/NEK9/NLRP3/P2RX7/P2RY12/PDE4DIP/PLEK/PRKD1/PTK2B/PTPN22/RASIP1/RICTOR/SNCA/SYK/TLR4/TLR6,33
GO:0002837,GO:0002837,regulation of immune response to tumor cell,9/1487,29/16754,0.310344827586207,3.49664911995919,4.19950760589957,0.00064888980357346,0.00531529519006512,0.00398624472965671,CD226/CD274/GSDME/GZMB/HAVCR2/HLA-DRB1/MR1/PRF1/PRKAA1,9
GO:0062197,GO:0062197,cellular response to chemical stress,46/1487,318/16754,0.144654088050314,1.6298147889677,3.53877763352875,0.000653908463468983,0.00534089353839225,0.0040054423992984,ABCB1/ABCC9/AIF1/ALOX5/ATM/ATP7A/BTK/CAPN3/CASP1/CD36/CYGB/CYP1B1/DAPK1/ERN1/FAS/FOXO1/FXYD2/HGF/HIF1A/IL18BP/IL18RAP/KAT2B/KLF2/LRRC8C/LRRK2/MMP2/NFAT5/NLRP3/PDGFD/PDGFRA/PKD2/PRKAA1/PRKD1/PRR5L/PTGS2/RIPK3/SIRPA/SLC12A6/SLC2A4/SLC8A1/SNCA/SOD2/SOD3/TIFAB/TNFAIP3/TRPC6,46
GO:0030323,GO:0030323,respiratory tube development,32/1487,199/16754,0.160804020100503,1.81177575841548,3.59519912573602,0.000706741031125979,0.00574705664256762,0.00431004740720582,ADAMTS2/ALDH1A2/ATP7A/ATXN1/COL3A1/COL6A1/CTSH/FGF7/FOXP2/GLI1/GLI2/HECA/HEG1/HOPX/HSD11B1/IGF1/KDR/KLF2/MAN2A1/MME/NOTCH1/NPHP3/PDGFRA/PDPN/PKD1/PKDCC/PROX1/RBPJ/SPRY1/TGFBR2/WNT5A/ZFPM2,32
GO:0018108,GO:0018108,peptidyl-tyrosine phosphorylation,22/1487,119/16754,0.184873949579832,2.08297118443881,3.70001858006345,0.000719451160036626,0.0058418592731629,0.00438114533743449,BTK/CASS4/CD80/CSF1R/FES/FGF7/FGR/HCK/IL15/IL18/ITGB2/JAK2/JAK3/KDR/OSM/PDGFRA/PDGFRB/PKDCC/PTK2B/SAMSN1/SYK/ZAP70,22
GO:0008347,GO:0008347,glial cell migration,14/1487,61/16754,0.229508196721311,2.58586437650898,3.87247560113785,0.000742954247680953,0.00601511354463559,0.00451107865286717,CCL2/CCL3/CCR2/COL3A1/CSF1/DISC1/EPHA4/GPR183/NDN/P2RY1/P2RY12/PTPRB/RELN/VCAN,14
GO:0072577,GO:0072577,endothelial cell apoptotic process,14/1487,61/16754,0.229508196721311,2.58586437650898,3.87247560113785,0.000742954247680953,0.00601511354463559,0.00451107865286717,CCL2/CD248/CD40/CD40LG/CDH5/ECSCR/GAS6/IL10/ITGA4/KDR/NDNF/SEMA5A/TEK/TNFAIP3,14
GO:0010975,GO:0010975,regulation of neuron projection development,59/1487,437/16754,0.135011441647597,1.52117128000259,3.44529142016663,0.000753013793259982,0.00608136466391985,0.00456076416714949,ABI3/ALKAL2/ARHGAP4/ARSB/CAMK1/CBFA2T2/CCDC88A/CD38/CDKL5/CFLAR/CXCL12/DAB2/DISC1/DPYSL3/EPHA4/FES/FZD4/IL15RA/ITM2C/KAT2B/KIF13B/LRRK2/LZTS1/MAP1B/MAPRE3/MYCBP2/MYLIP/NDNF/NEGR1/NR2F1/PLXNC1/PLXND1/PPFIA2/PRKD1/PRRX1/PTEN/PTK2B/RAB29/RAPGEF1/RAPGEF2/RELN/RGS2/ROBO1/ROBO3/SCARF1/SEMA5A/SEMA6D/SHANK3/SHOX2/SLIT2/SPART/TMEM30A/TNIK/TOX/TRPC6/TRPV2/UST/WNT5A/ZEB2,59
GO:0051701,GO:0051701,biological process involved in interaction with host,29/1487,175/16754,0.165714285714286,1.86709962532424,3.59860171708271,0.000753327131576676,0.00608136466391985,0.00456076416714949,AXL/CBL/CCR5/CD209/CD4/CD74/CD80/CD86/CH25H/CR1/CTSB/CTSL/CXCR4/DPP4/GAS6/GBP2/HLA-DRB1/ITGA5/LGALS9/LTF/MRC1/PIKFYVE/PPARA/SELPLG/SIGLEC1/SLAMF1/TNFRSF14/TPCN1/TRIM38,29
GO:0140895,GO:0140895,cell surface toll-like receptor signaling pathway,15/1487,68/16754,0.220588235294118,2.48536334506903,3.8303279970636,0.000760325106103937,0.0061246429224894,0.0045932210155394,CD14/IRAK2/LTF/LY96/NFKBIA/PIK3AP1/PTPN22/SCIMP/TLR1/TLR2/TLR4/TLR5/TLR6/TNFAIP3/WDFY1,15
GO:0033033,GO:0033033,negative regulation of myeloid cell apoptotic process,7/1487,19/16754,0.368421052631579,4.15099281492231,4.28880480430389,0.000827705611059101,0.00654854268350747,0.00491112775972539,CCR5/FCER1G/GAS6/ITPKB/SNAI2/STAT5A/STAT5B,7
GO:0045346,GO:0045346,regulation of MHC class II biosynthetic process,7/1487,19/16754,0.368421052631579,4.15099281492231,4.28880480430389,0.000827705611059101,0.00654854268350747,0.00491112775972539,CIITA/IL10/IL33/JAK2/SPI1/TLR4/TMEM106A,7
GO:2000351,GO:2000351,regulation of endothelial cell apoptotic process,13/1487,55/16754,0.236363636363636,2.66310448126185,3.85549879631782,0.000846015844120588,0.00668388619949608,0.00501262962519303,CCL2/CD248/CD40/CD40LG/CDH5/ECSCR/GAS6/ITGA4/KDR/NDNF/SEMA5A/TEK/TNFAIP3,13
