gene_id,H_value,p_value.x,stat_test_adj_p,cluster1_mean,cluster1_sd,cluster1_sem,cluster2_mean,cluster2_sd,cluster2_sem,cluster1_penetrance,cluster2_penetrance,limma_test,cluster1_cluster2_differential,cluster2_cluster1_differential,cluster1_cluster2_sd,cluster2_cluster1_sd,r_rb,p_value.y,padj,trajectory
FBF1,180,1.82083638342176e-06,0.00214763307310919,0.628318237468607,0.241987662093463,0.0624809456850434,-0.235859862660419,0.237698935467721,0.0686177721891882,1,0.166666666666667,limma_dupcor_2grp(mod_t),0.864178100129026,-0.864178100129026,0.339203202414051,0.339203202414051,-0.775588263992335,1.82083638342176e-06,0.00214763307310919,Fun-CIM
CXCL17,180,0.000342985351654348,0.0392355359083783,0.217791712628969,0.15173071723679,0.0391767027310795,-0.0814369786765177,0.131553053240447,0.0379760953505447,1,0,limma_dupcor_2grp(mod_t),0.299228691305487,-0.299228691305487,0.200819362537766,0.200819362537766,-0.635963925869725,0.000342985351654348,0.0392355359083783,Fun-CIM
TRPV1,177,6.11935012993699e-06,0.00420010908222771,0.377268283580434,0.23163270986963,0.0598073085174648,-0.1206533706441,0.119236448293029,0.0344205977595976,1,0.25,limma_dupcor_2grp(mod_t),0.497921654224534,-0.497921654224534,0.260520714882875,0.260520714882875,-0.749901769262273,6.11935012993699e-06,0.00420010908222771,Fun-CIM
ZNF585A,175,0.000100419926942094,0.0197682984736335,0.330998168463563,0.14846594051697,0.0383337410067497,-0.027645218952368,0.129060146451351,0.0372564551476702,1,0.333333333333333,limma_dupcor_2grp(mod_t),0.358643387415931,-0.358643387415931,0.196719742007844,0.196719742007844,-0.676370725569249,0.000100419926942094,0.0197682984736334,Fun-CIM
MIRLET7BHG,168,0.000466416460797943,0.0468386565950423,0.794467785149273,0.299391597536843,0.0773025780836417,0.0301195922660092,0.368616269045992,0.106410351080689,1,0.5,limma_dupcor_2grp(mod_t),0.764348192883264,-0.764348192883264,0.474882388051031,0.474882388051031,-0.624877097957309,0.000466416460797943,0.0468386565950423,Fun-CIM
MIB2,156,0.000291806010534296,0.0361582920306013,0.827912430482732,0.513273026434054,0.132526525562438,0.101913481322942,0.133351773911655,0.0384953412824039,0.866666666666667,0.75,limma_dupcor_2grp(mod_t),0.72599894915979,-0.72599894915979,0.530313016312214,0.530313016312214,-0.641625942308069,0.000291806010534296,0.0361582920306014,Fun-CIM
ANKRD13C-DT,171,1.74119551350054e-05,0.00729766977815112,0.768323376175189,0.460108080388488,0.118799395520005,-0.0923195985998517,0.226696105446129,0.0654415287517812,0.933333333333333,0.5,limma_dupcor_2grp(mod_t),0.860642974775041,-0.860642974775041,0.512923551675317,0.512923551675317,-0.724994422811108,1.74119551350054e-05,0.0072976697781511,Fun-CIM
HOXC6,174,1.15763464248496e-05,0.00605128593381608,0.658849671382113,0.375278991949221,0.0968966190667226,-0.140092432182795,0.284118279686832,0.0820178826294428,1,0.25,limma_dupcor_2grp(mod_t),0.798942103564908,-0.798942103564908,0.470698968185218,0.470698968185218,-0.735045790169467,1.15763464248496e-05,0.00605128593381608,Fun-CIM
INKA2,160,0.000538429461118488,0.049668020624852,0.654626075285512,0.480097933902031,0.12396075350341,-0.137138454113388,0.171399247039688,0.0494787007086316,0.866666666666667,0.166666666666667,limma_dupcor_2grp(mod_t),0.7917645293989,-0.7917645293989,0.509776154819712,0.509776154819712,-0.619550966910964,0.000538429461118488,0.049668020624852,Fun-CIM
GPAA1,174,0.000374503909222475,0.0414010400038493,0.128145884925145,0.203809987378064,0.052623512460399,-0.220097203542179,0.121286733151421,0.0350124640170517,0.733333333333333,0,limma_dupcor_2grp(mod_t),0.348243088467324,-0.348243088467324,0.23716867962189,0.23716867962189,-0.632836089187698,0.000374503909222475,0.0414010400038493,Fun-CIM
