"gene_id","r_rb","p_value","padj","trajectory"
"CC2D1A",-0.240884813841314,0.224168524660822,0.813744940605593,"NS"
"RTBDN",0.359955072874557,0.0640121154550914,0.502596419936727,"NS"
"MATN3",-0.439368954429431,0.0212914677588045,0.328254765869256,"NS"
"TRIM21",-0.488493739888242,0.00942264867272938,0.226132108554538,"NS"
"SPATA6",0.0689918605179936,0.731303851231714,1,"NS"
"LRRC41",0.243633045577856,0.218765332387868,0.806406632234586,"NS"
"CCT6B",0.125531131566762,0.530957982810288,1,"NS"
"DHX30",0.195741367715978,0.325781643149824,0.941170446587631,"NS"
"RAF1",0.364128785930801,0.0607696438084043,0.491512401381798,"NS"
"SLC6A11",-0.00147564778725556,0.994146826476386,1,"NS"
"PPARG",0.493699147408185,0.0085830920398298,0.215845355724931,"NS"
"NUP210",-0.221500356655104,0.26481813488165,0.86980961500333,"NS"
"FCRLA",0.256440761171796,0.194746301552606,0.769355108816331,"NS"
"HSD17B7",0.0212733114833791,0.915765962451073,1,"NS"
"ENOSF1",0.0994328886096515,0.620214835184097,1,"NS"
"LINC00470",0.164696995390643,0.409702669085946,1,"NS"
"EMILIN2",-0.490807041754991,0.0090414348411146,0.222046837236732,"NS"
"SLX1A",0.245091330846297,0.215934226869234,0.802151750529102,"NS"
"ARFIP2",-0.156935756712656,0.432415891463153,1,"NS"
"TRIM5",-0.0662170518074667,0.741740379576522,1,"NS"
"CNGA4",-0.0706905821930918,0.724937503952906,1,"NS"
"TRIM22",-0.476208534420286,0.0116798246477395,0.250670902732097,"NS"
"RRP8",-0.0538475417080986,0.788784977521702,1,"NS"
"TIMM10B",-0.0837448129783369,0.676635982513153,1,"NS"
"EFR3A",0.538897045468092,0.00358381245606174,0.136721838947253,"NS"
"HHLA1",-0.118816604825579,0.553325698047661,1,"NS"
"PTCD3",0.36615352864539,0.0592434105120522,0.486469270205349,"NS"
"IMMT",0.447338429227058,0.0187968949379978,0.311030697858689,"NS"
"MRPL35",0.0415387376804304,0.836328439279158,1,"NS"
"IQCA1",-0.536096417060927,0.00379633786772023,0.140300091478952,"NS"
"ILKAP",-0.141467165636193,0.47966041749666,1,"NS"
"PER2",-0.0893941435257863,0.656101381129673,1,"NS"
"RAMP1",-0.451251728632377,0.017662857693097,0.302871073982288,"NS"
"SCLY",0.225473149036275,0.256122787212135,0.856772451349909,"NS"
"PTPRE",0.331704032044612,0.0896104293975924,0.584247427486469,"NS"
"RAN",0.236913792059436,0.232132825028702,0.824122167281316,"NS"
"PRKAA1",0.353047264423247,0.0696714060989646,0.521664406488991,"NS"
"CARD6",-0.293988015854638,0.134973499049183,0.65936454120645,"NS"
"RAP1GAP2",0.279208683763678,0.156660680255234,0.702547628765761,"NS"
"CLUH",0.0160354535979203,0.936457870473605,1,"NS"
"INPP5K",0.0223190585063199,0.911640774941618,1,"NS"
"MYBBP1A",-0.277090337815153,0.159961245144091,0.709568450135627,"NS"
"RPA1",0.00405230695775192,0.983927364490259,1,"NS"
"SERPINF1",0.178874335159483,0.369982401121131,0.974293741993054,"NS"
"UBE2G1",0.545309568790589,0.00313509858362308,0.126577801228919,"NS"
"EEFSEC",0.46005752531251,0.0153157489116842,0.283094322954277,"NS"
"TBC1D14",0.653676652439564,0.000204633048305693,0.0296185538699927,"Dys-CIM"
"TMEM128",0.2516467336286,0.203514067024912,0.78268233962241,"NS"
"COQ3",0.357732945762242,0.0657922889312259,0.508570248456536,"NS"
"PNISR",-0.189479837030552,0.341797987406871,0.960133767820887,"NS"
"POPDC3",0.155222576911138,0.437520024769084,1,"NS"
"SEC61G",0.115745213894165,0.56369960285826,1,"NS"
"LANCL2",-0.418934112257201,0.0289429837202358,0.379426605382105,"NS"
"FIGNL1",-0.278044696532019,0.158468216572652,0.706147630404754,"NS"
"DDC",-0.195319931272252,0.32684500843876,0.942172249662428,"NS"
"FTHL17",0.119690035445021,0.550391742365752,1,"NS"
"GRSF1",0.599022532574326,0.000914781287694781,0.0665488632261055,"NS"
"ENAM",-0.327363867185357,0.094145576156371,0.59274693831858,"NS"
"JCHAIN",-0.609368593697778,0.000703505913091936,0.0577225870396805,"NS"
"ANKRD17",0.463989149463268,0.0143544057962522,0.276346819099946,"NS"
"UTP3",-0.121255225377161,0.54515215498089,1,"NS"
"ITGB4",0.242629901336389,0.220727298308152,0.809522682948508,"NS"
"WBP2",-0.0134229574559016,0.946794326341303,1,"NS"
"H3-3B",-0.135473473682828,0.498650483944539,1,"NS"
"UNK",-0.73296674373494,1.26147071021419e-05,0.00630192443662193,"Fun-CIM"
"TRIM47",-0.165644577399553,0.40697603689853,1,"NS"
