"Method","Cell_Type","cluster","n_pairs","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","FDR","zscore_delta"
"CIBERSORTx","NK cells activated","C3",11,0.015193602562867,0.0102136044142065,0.0200418937713984,0.0162395660873861,0.00484829120853133,0.0213025945472268,0.824098168245978,0.921050893921975,0.362667769065905
"CIBERSORTx","NK cells resting","C1",14,0.0110829317994427,0.01095275551687,0.00703911085452102,0.00987342852310592,-0.00404382094492164,0.010062316152864,0.168166829372509,0.305757871586381,-0.302490807073647
"CIBERSORTx","NK cells resting","C2",11,0.00313765641306731,0.00385226518394863,0.00931076432684054,0.0201048897010859,0.00617310791377322,0.0207443706258463,0.833935414088552,0.926594904542836,0.461768317742902
"CIBERSORTx","NK cells resting","C3",11,0.00739553174859477,0.0107187801216324,0.00195714145512066,0.00435912709477985,-0.00543839029347411,0.00973764951736892,0.142213241936393,0.468649356595117,-0.406809077716557
"CIBERSORTx","Neutrophils","C1",14,0.00481513733445415,0.00463677708821696,0.00851800173733219,0.0105564530305399,0.00370286440287805,0.00905373238427941,0.232966059706807,0.388276766178011,0.276986161594888
"CIBERSORTx","Neutrophils","C2",11,0.00196312996613605,0.00429942853884294,0.0088244523393048,0.00912457083834629,0.00686132237316875,0.00868915024223328,0.00915168885265007,0.183033777053001,0.513248971831641
"CIBERSORTx","Neutrophils","C3",11,0.00403702262586266,0.00373739582642968,0.00283337813456487,0.0029402084808826,-0.00120364449129779,0.00387394292721031,0.414823067184775,0.656803189709226,-0.0900364775200187
"CIBERSORTx","Plasma cells","C1",14,0.00472485460392193,0.00768340894254565,0.011087427044958,0.010381045255182,0.00636257244103605,0.0126978041273937,0.0692129715131915,0.276851886052766,0.47594087348762
"CIBERSORTx","Plasma cells","C2",11,0.00560769977956455,0.00922874059947654,0.00320555830939402,0.00271224848433052,-0.00240214147017053,0.00935218686882137,0.812703686128436,0.926594904542836,-0.179687904562016
"CIBERSORTx","Plasma cells","C3",11,0.0114288923274988,0.0186066914260361,0.00791030698910075,0.0176200699107001,-0.00351858533839802,0.00618753838500504,0.0831311427008039,0.394872927828819,-0.263201495136957
"CIBERSORTx","T cells CD4+ (general)","C1",14,0.149970395554944,0.0681524794402321,0.123578106631605,0.0632068542197624,-0.0263922889233391,0.0473425093096199,0.0445533169117585,0.222766584558792,-1.97422805947122
"CIBERSORTx","T cells CD4+ (general)","C2",11,0.14456721707441,0.0462097034911995,0.1235161646966,0.0222888857693479,-0.0210510523778091,0.0425514244495541,0.142368182702515,0.406766236292901,-1.57468639443839
"CIBERSORTx","T cells CD4+ (general)","C3",11,0.145709065788034,0.0504247851302615,0.171123419875154,0.0503402016705592,0.0254143540871207,0.0701691076375328,0.230024245060274,0.485606739571689,1.90107538978028
"CIBERSORTx","T cells CD8+ (total)","C1",14,0.0879176044748044,0.0359591322546678,0.0629266567905274,0.0353198101747467,-0.024990947684277,0.0282261656845125,0.0120369481070948,0.120369481070948,-1.86940322964738
"CIBERSORTx","T cells CD8+ (total)","C2",11,0.120083996038496,0.0304767576438416,0.105712894057535,0.0396909190400078,-0.0143711019809608,0.0424920563541908,0.398304593395588,0.724190169810159,-1.07500462952441
"CIBERSORTx","T cells CD8+ (total)","C3",11,0.0850286919987375,0.0322635783160669,0.101847880736018,0.0460838644291542,0.0168191887372801,0.0335231686945549,0.168166829372509,0.468649356595117,1.25812938919886
"CIBERSORTx","T cells follicular helper","C1",14,0.0648498398324561,0.0326682203373247,0.0619985443380012,0.026432858557915,-0.00285129549445494,0.0354055289042484,0.70642711574737,0.83109072440867,-0.213286069554161
"CIBERSORTx","T cells follicular helper","C2",11,0.074103393514171,0.0291139262836468,0.0770565939174742,0.0256080558234649,0.0029532004033032,0.0264118151074794,0.563317799720071,0.866642768800109,0.220908884347923
"CIBERSORTx","T cells follicular helper","C3",11,0.0613063059462416,0.0311274787614807,0.0481209837479483,0.0185292919066437,-0.0131853221982933,0.0316860952492913,0.197326044882155,0.468649356595117,-0.986304489642799
"CIBERSORTx","T cells gamma delta","C1",14,0.00455733979591168,0.0132573471578412,0.000892140551174593,0.00333808428334299,-0.00366519924473709,0.013505428421034,0.361310428526179,0.481747238034905,-0.274168686677032
"CIBERSORTx","T cells gamma delta","C2",11,0.0212611900715018,0.0329275626461239,0.0069074557741824,0.0123504351969726,-0.0143537342973194,0.0325538954734972,0.352542137499713,0.705084274999426,-1.07370547095303
"CIBERSORTx","T cells gamma delta","C3",11,0.00379140883237874,0.00851262684842701,0.00738526439818772,0.0167672060680639,0.00359385556580898,0.0161240022710504,0.789268026134281,0.921050893921975,0.268831950131942
