"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","C1_n","C2_n","C3_n","C1_mean","C2_mean","C3_mean","C1_sd","C2_sd","C3_sd"
"xcell","stroma score","Biopsy","kruskal",0.208710518346832,0.298552794456395,3,NA,14,11,11,0.0616390766858379,0.0349976369570241,0.0512388693616461,0.062628911799883,0.0430813250667508,0.0289505924078651
"CIBERSORTx","B cells memory","Surgery","kruskal",0.942582298200753,0.95215035033553,3,NA,14,11,11,0.00145953610702962,0.00418292487386878,0.00427826196637441,0.0024769131560946,0.00708047284652067,0.0110695890470234
"CIBERSORTx","B cells naive","Surgery","kruskal",0.105732707504719,0.186422624074841,3,NA,14,11,11,0.0322380328519293,0.0158176760184542,0.0199157886815904,0.0222036218368289,0.0115400328384876,0.0168447277892265
"CIBERSORTx","Dendritic cells activated","Surgery","kruskal",0.943334143387978,0.95215035033553,3,NA,14,11,11,0.0088067987880943,0.0071212100092515,0.00422131357343334,0.0243721901552415,0.0148493055513194,0.00844407949764119
"CIBERSORTx","Dendritic cells resting","Surgery","kruskal",0.0542425318164438,0.117833173718297,3,NA,14,11,11,0.00529491153762231,0.0160693407393746,0.00890369611037632,0.00656339031529232,0.013432280737696,0.00961217135352332
"CIBERSORTx","Eosinophils","Surgery","kruskal",0.0305387874515152,0.0845689498657344,3,NA,14,11,11,0.000115049103961486,0.00156794704071286,0,0.000430474329679219,0.00329786875094455,0
"CIBERSORTx","Macrophages M0","Surgery","kruskal",0.10133688547445,0.180898902995712,3,NA,14,11,11,0.057532228999677,0.0812519952932911,0.101900408836108,0.0941242871047132,0.0473476902020694,0.084615876322793
"CIBERSORTx","Macrophages M1","Surgery","kruskal",0.000499848702064177,0.0203930327944857,3,NA,14,11,11,0.0422792631796915,0.0886963592071588,0.0408614563028932,0.0304090091649388,0.0225094276104773,0.0243007236222577
"CIBERSORTx","Macrophages M2","Surgery","kruskal",0.210716361686126,0.29943904029081,3,NA,14,11,11,0.354753267682178,0.298419691525964,0.317513309986728,0.0996295771761091,0.057712264795928,0.0712116357593101
"CIBERSORTx","Mast cells activated","Surgery","kruskal",0.613110658921701,0.672243159020748,3,NA,14,11,11,0.0138817794469191,0.0186988507253777,0.00549959129774843,0.0209460652070368,0.0256387808830938,0.0109051960624536
"CIBERSORTx","Mast cells resting","Surgery","kruskal",0.0732053477844306,0.144529618749405,3,NA,14,11,11,0.141695877312628,0.053278849631773,0.117329768505827,0.11198941492677,0.0587166845544801,0.0974228503315905
"CIBERSORTx","Monocytes","Surgery","kruskal",0.0281089553645033,0.0809537914497696,3,NA,14,11,11,0.0314267955047574,0.0220757373601044,0.00987786158313045,0.0240980584598159,0.0223952458759907,0.00867284900123022
"CIBERSORTx","NK cells activated","Surgery","kruskal",0.139295253717101,0.224535632857417,3,NA,14,11,11,0.0313193518036604,0.042489241136704,0.0200418937713984,0.021748512130671,0.0293183033775599,0.0162395660873861
"CIBERSORTx","NK cells resting","Surgery","kruskal",0.343330748068291,0.431159544085761,3,NA,14,11,11,0.00703911085452102,0.00931076432684054,0.00195714145512066,0.00987342852310592,0.0201048897010859,0.00435912709477985
"CIBERSORTx","Neutrophils","Surgery","kruskal",0.171812969241138,0.261349305324547,3,NA,14,11,11,0.00851800173733219,0.0088244523393048,0.00283337813456487,0.0105564530305399,0.00912457083834629,0.0029402084808826
"CIBERSORTx","Plasma cells","Surgery","kruskal",0.107020395302223,0.186422624074841,3,NA,14,11,11,0.011087427044958,0.00320555830939402,0.00791030698910075,0.010381045255182,0.00271224848433052,0.0176200699107001
"CIBERSORTx","T cells CD4+ (general)","Surgery","kruskal",0.0126718172145004,0.0498635266578045,3,NA,14,11,11,0.123578106631605,0.1235161646966,0.171123419875154,0.0632068542197624,0.0222888857693479,0.0503402016705592
"CIBERSORTx","T cells CD8+ (total)","Surgery","kruskal",0.0159803907517503,0.0565863016783291,3,NA,14,11,11,0.0629266567905274,0.105712894057535,0.101847880736018,0.0353198101747467,0.0396909190400078,0.0460838644291542
"CIBERSORTx","T cells follicular helper","Surgery","kruskal",0.0730536360975587,0.144529618749405,3,NA,14,11,11,0.0619985443380012,0.0770565939174742,0.0481209837479483,0.026432858557915,0.0256080558234649,0.0185292919066437
