"Method","Cell_Type","Timepoint","comparison","cluster1","cluster2","n1","mean1","sd1","n2","mean2","sd2","z","p_unadj","fdr"
"xcell","Neutrophil","Biopsy","C1 - C2","C1","C2",14,0.0000300031691903484,0.000112261579627695,11,0.0000782331736494275,0.00025947008315387,-0.0512502380116407,0.959126120268616,0.959126120268616
"xcell","Neutrophil","Biopsy","C3 - C2","C3","C2",11,0.000000000000000000224895750390083,0.000000000000000000418544027739103,11,0.0000782331736494275,0.00025947008315387,-0.271190768823342,0.78624431246014,1
"xcell","Neutrophil","Biopsy","C1 - C3","C1","C3",14,0.0000300031691903484,0.000112261579627695,11,0.000000000000000000224895750390083,0.000000000000000000418544027739103,0.235751094853548,0.81362581917109,1
"xcell","Plasmacytoid dendritic cell","Biopsy","C1 - C2","C1","C2",14,0.000608027363048873,0.00186833538671186,11,0.028811636116404,0.0238817282055804,-3.37679013554386,0.000733369817645842,0.00220010945293753
"xcell","Plasmacytoid dendritic cell","Biopsy","C3 - C2","C3","C2",11,0.00501017427657738,0.0147723235924376,11,0.028811636116404,0.0238817282055804,-3.16143985974033,0.0015699123313694,0.00235486849705409
"xcell","Plasmacytoid dendritic cell","Biopsy","C1 - C3","C1","C3",14,0.000608027363048873,0.00186833538671186,11,0.00501017427657738,0.0147723235924376,-0.0310366740399255,0.975240292097172,0.975240292097172
"xcell","T cell CD4+ (aggregated)","Biopsy","C1 - C2","C1","C2",14,0.193707370028958,0.163425967492439,11,0.44769467669235,0.208171201512068,-3.18331947399611,0.00145596872069999,0.00436790616209997
"xcell","T cell CD4+ (aggregated)","Biopsy","C3 - C2","C3","C2",11,0.194147476916317,0.153510332121288,11,0.44769467669235,0.208171201512068,-2.89376465419596,0.00380653352494616,0.00570980028741923
"xcell","T cell CD4+ (aggregated)","Biopsy","C1 - C3","C1","C3",14,0.193707370028958,0.163425967492439,11,0.194147476916317,0.153510332121288,-0.120846822895576,0.903812362538107,0.903812362538107
"xcell","T cell CD8+ (aggregated)","Biopsy","C1 - C2","C1","C2",14,0.0441885785175211,0.0528876313249168,11,0.183100713929247,0.128442918565122,-2.606620078659,0.00914407557985537,0.0137161133697831
"xcell","T cell CD8+ (aggregated)","Biopsy","C3 - C2","C3","C2",11,0.0483951776259978,0.0850957338326946,11,0.183100713929247,0.128442918565122,-2.79258407188142,0.00522888777903744,0.0156866633371123
"xcell","T cell CD8+ (aggregated)","Biopsy","C1 - C3","C1","C3",14,0.0441885785175211,0.0528876313249168,11,0.0483951776259978,0.0850957338326946,0.348773109116344,0.727259653059778,0.727259653059778
"xcell","T cell NK","Biopsy","C1 - C2","C1","C2",14,0.00674402480479512,0.00753410333694204,11,0.00360467878968455,0.00635248835618034,0.618204711050716,0.536440405008632,1
"xcell","T cell NK","Biopsy","C3 - C2","C3","C2",11,0.00749259281509698,0.0158467394580849,11,0.00360467878968455,0.00635248835618034,0.224336348783742,0.822495594645694,0.822495594645694
"xcell","T cell NK","Biopsy","C1 - C3","C1","C3",14,0.00674402480479512,0.00753410333694204,11,0.00749259281509698,0.0158467394580849,0.380789435485104,0.703359499014498,1
"xcell","T cell gamma delta","Biopsy","C1 - C2","C1","C2",14,0.00000000000000000102989566298074,0.00000000000000000184693309750424,11,0.00137067861271089,0.00306519664624418,-1.81667419527042,0.0692670152094328,0.207801045628298
"xcell","T cell gamma delta","Biopsy","C3 - C2","C3","C2",11,0.000331179019170971,0.00094467985807583,11,0.00137067861271089,0.00306519664624418,-0.462160397491724,0.643966300607011,0.643966300607011
"xcell","T cell gamma delta","Biopsy","C1 - C3","C1","C3",14,0.00000000000000000102989566298074,0.00000000000000000184693309750424,11,0.000331179019170971,0.00094467985807583,-1.32756960423608,0.184320331526324,0.276480497289487
"xcell","T cell regulatory (Tregs)","Biopsy","C1 - C2","C1","C2",14,0.00061053620690205,0.00228441730844799,11,0.0000879224384294253,0.000291605738923506,-0.795548048693615,0.426294772774264,1
"xcell","T cell regulatory (Tregs)","Biopsy","C3 - C2","C3","C2",11,0.000972189974088049,0.00311100848740622,11,0.0000879224384294253,0.000291605738923506,-0.128342822734513,0.897877677661006,0.897877677661006
"xcell","T cell regulatory (Tregs)","Biopsy","C1 - C3","C1","C3",14,0.00061053620690205,0.00228441730844799,11,0.000972189974088049,0.00311100848740622,-0.659722772087388,0.509431750422149,0.764147625633224
"xcell","immune score","Biopsy","C1 - C2","C1","C2",14,0.0588590524047289,0.0395003980903999,11,0.180159650037078,0.139263800520496,-1.67961786758661,0.093031689012968,0.139547533519452
"xcell","immune score","Biopsy","C3 - C2","C3","C2",11,0.0488123092662056,0.0679592707650497,11,0.180159650037078,0.139263800520496,-2.91400077065887,0.00356829025697478,0.0107048707709243
"xcell","immune score","Biopsy","C1 - C3","C1","C3",14,0.0588590524047289,0.0395003980903999,11,0.0488123092662056,0.0679592707650497,1.40427067617897,0.160238262850687,0.160238262850687
"xcell","microenvironment score","Biopsy","C1 - C2","C1","C2",14,0.120498129090567,0.0712309421085014,11,0.215157286994102,0.120406640222216,-1.67196933449195,0.094530369185059,0.141795553777589
"xcell","microenvironment score","Biopsy","C3 - C2","C3","C2",11,0.100051178627852,0.0652816632940304,11,0.215157286994102,0.120406640222216,-2.32715339323451,0.0199571025861147,0.059871307758344
"xcell","microenvironment score","Biopsy","C1 - C3","C1","C3",14,0.120498129090567,0.0712309421085014,11,0.100051178627852,0.0652816632940304,0.790858321987501,0.429026671769572,0.429026671769572
