"Method","Cell_Type","cluster","n_candidates","n_pairs_used","n_dropped","n_missing_biopsy","n_missing_surgery","n_missing_both","dropped_patient_ids"
"xcell","T cell CD4+ (aggregated)","Dys-CIM",9,9,0,0,0,0,""
"xcell","T cell CD8+ (aggregated)","Dys-CIM",9,9,0,0,0,0,""
"xcell","T cell NK","Dys-CIM",9,9,0,0,0,0,""
"xcell","T cell gamma delta","Dys-CIM",9,9,0,0,0,0,""
"xcell","T cell regulatory (Tregs)","Dys-CIM",9,9,0,0,0,0,""
"xcell","immune score","Dys-CIM",9,9,0,0,0,0,""
"xcell","microenvironment score","Dys-CIM",9,9,0,0,0,0,""
"xcell","stroma score","Dys-CIM",9,9,0,0,0,0,""
"xcell","B cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","B cell memory","Fun-CIM",10,10,0,0,0,0,""
"xcell","B cell naive","Fun-CIM",10,10,0,0,0,0,""
"xcell","B cell plasma","Fun-CIM",10,10,0,0,0,0,""
"xcell","Cancer associated fibroblast","Fun-CIM",10,10,0,0,0,0,""
"xcell","Class-switched memory B cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","Common lymphoid progenitor","Fun-CIM",10,10,0,0,0,0,""
"xcell","Common myeloid progenitor","Fun-CIM",10,10,0,0,0,0,""
"xcell","Endothelial cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","Eosinophil","Fun-CIM",10,10,0,0,0,0,""
"xcell","Granulocyte-monocyte progenitor","Fun-CIM",10,10,0,0,0,0,""
"xcell","Hematopoietic stem cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","Macrophage","Fun-CIM",10,10,0,0,0,0,""
"xcell","Macrophage M1","Fun-CIM",10,10,0,0,0,0,""
"xcell","Macrophage M2","Fun-CIM",10,10,0,0,0,0,""
"xcell","Mast cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","Monocyte","Fun-CIM",10,10,0,0,0,0,""
"xcell","Myeloid dendritic cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","Myeloid dendritic cell activated","Fun-CIM",10,10,0,0,0,0,""
"xcell","NK cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","Neutrophil","Fun-CIM",10,10,0,0,0,0,""
"xcell","Plasmacytoid dendritic cell","Fun-CIM",10,10,0,0,0,0,""
"xcell","T cell CD4+ (aggregated)","Fun-CIM",10,10,0,0,0,0,""
"xcell","T cell CD8+ (aggregated)","Fun-CIM",10,10,0,0,0,0,""
"xcell","T cell NK","Fun-CIM",10,10,0,0,0,0,""
"xcell","T cell gamma delta","Fun-CIM",10,10,0,0,0,0,""
"xcell","T cell regulatory (Tregs)","Fun-CIM",10,10,0,0,0,0,""
"xcell","immune score","Fun-CIM",10,10,0,0,0,0,""
"xcell","microenvironment score","Fun-CIM",10,10,0,0,0,0,""
"xcell","stroma score","Fun-CIM",10,10,0,0,0,0,""
