"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Dys-CIM_n","Fun-CIM_n","Dys-CIM_mean","Fun-CIM_mean","Dys-CIM_sd","Fun-CIM_sd"
"quantiseq","T cell CD4+ (non-regulatory)","Biopsy","wilcox_rank_sum",0.71237892954897,0.97332032972522,2,NA,9,10,0.00123606977736004,0.00612247007305406,0.00261268460550119,0.0182240594508296
"quantiseq","T cell CD8+","Biopsy","wilcox_rank_sum",0.15304188415882,0.97332032972522,2,NA,9,10,0.0168892710925809,0.0147163291045615,0.0206229591162431,0.025578331604462
"quantiseq","T cell regulatory (Tregs)","Biopsy","wilcox_rank_sum",0.0247446720463989,0.97332032972522,2,NA,9,10,0.0139543663870935,0.00609179148991021,0.00985508640626423,0.00462333131633759
"quantiseq","uncharacterized cell","Biopsy","wilcox_rank_sum",0.236444715572304,0.97332032972522,2,NA,9,10,0.854634590824493,0.850477043108535,0.0527916526431987,0.140227634232585
"timer","B cell","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.0936884229737642,0.106797156410875,0.0237412762490353,0.0379231020542773
"timer","Macrophage","Biopsy","wilcox_rank_sum",0.0941663754378798,0.97332032972522,2,NA,9,10,0.0757036650031377,0.0569501810603007,0.0329956104085472,0.0640640591388493
"timer","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.838256486385826,0.994853851974387,2,NA,9,10,0.501456608278265,0.500371883951899,0.0440918339808689,0.0668146603674041
"timer","Neutrophil","Biopsy","wilcox_rank_sum",0.0941663754378798,0.97332032972522,2,NA,9,10,0.134139378554482,0.119534582905336,0.0213684731192993,0.0235035126330316
"timer","T cell CD4+","Biopsy","wilcox_rank_sum",0.130911127896291,0.97332032972522,2,NA,9,10,0.127701768378593,0.10095924698176,0.0466336402739201,0.0379766358448153
"timer","T cell CD8+","Biopsy","wilcox_rank_sum",0.713303173878458,0.97332032972522,2,NA,9,10,0.205931949880103,0.2319018447992,0.0711098808087071,0.0888048433134826
"xcell","B cell","Biopsy","wilcox_rank_sum",0.364750550995853,0.97332032972522,2,NA,9,10,0.0215452036697217,0.0580535627007903,0.0443791646079704,0.154927657082097
"xcell","B cell memory","Biopsy","wilcox_rank_sum",0.645138188345974,0.97332032972522,2,NA,9,10,0.00586618402588729,0.0188261026217513,0.0175985520776619,0.0521589888624777
"xcell","B cell naive","Biopsy","wilcox_rank_sum",0.463124269041701,0.97332032972522,2,NA,9,10,0.0025275554152871,0.00399733922633778,0.00502438630017107,0.0121288034229038
"xcell","B cell plasma","Biopsy","wilcox_rank_sum",0.965574364759781,1,2,NA,9,10,0.00944800922056505,0.0147811047387247,0.0154522109577248,0.0250726488766134
"xcell","Cancer associated fibroblast","Biopsy","wilcox_rank_sum",0.902523250177679,1,2,NA,9,10,0.198341024654325,0.183119131909815,0.134282338067612,0.0973600341736818
"xcell","Class-switched memory B cell","Biopsy","wilcox_rank_sum",0.773106341852418,0.97332032972522,2,NA,9,10,0.0112078615943679,0.0338603288227279,0.0204442752380502,0.0809065233215643
"xcell","Common lymphoid progenitor","Biopsy","wilcox_rank_sum",0.593987938236247,0.97332032972522,2,NA,9,10,0.00339066720491798,0.00393264469535169,0.00488487153036972,0.00305113225116449
"xcell","Common myeloid progenitor","Biopsy","wilcox_rank_sum",0.435922949545335,0.97332032972522,2,NA,9,10,0.0199784546102302,0.00891345010164107,0.0251083934800079,0.0105885769034305
"xcell","Endothelial cell","Biopsy","wilcox_rank_sum",0.437942822899974,0.97332032972522,2,NA,9,10,0.0762154802988906,0.0865154242313181,0.0680390456737612,0.0344363278848941
"xcell","Eosinophil","Biopsy","wilcox_rank_sum",0.295260264702122,0.97332032972522,2,NA,9,10,0.00289533859189753,0.000000000000000000903447381014266,0.00446071223149092,0.000000000000000000998631896522443
"xcell","Granulocyte-monocyte progenitor","Biopsy","wilcox_rank_sum",0.347745598910698,0.97332032972522,2,NA,9,10,0.0663450786725832,0.0726429085080903,0.0658773640635671,0.0463711220938815
"xcell","Hematopoietic stem cell","Biopsy","wilcox_rank_sum",0.27034414065478,0.97332032972522,2,NA,9,10,0.356572773633479,0.497830975628177,0.30979696722584,0.255616913189197
"xcell","Macrophage","Biopsy","wilcox_rank_sum",0.774955307165551,0.97332032972522,2,NA,9,10,0.0487261332254554,0.0500602544619572,0.0528941215834608,0.0494327947631575
"xcell","Macrophage M1","Biopsy","wilcox_rank_sum",0.713303173878458,0.97332032972522,2,NA,9,10,0.0514327596813746,0.0357358042633987,0.0528814415659673,0.0302039711658592
"xcell","Macrophage M2","Biopsy","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.0190326200207642,0.0326211708371509,0.0123478571675063,0.046016038703786
"xcell","Mast cell","Biopsy","wilcox_rank_sum",1,1,2,NA,9,10,0.00332238560638609,0.00440787683304873,0.0056440882530501,0.00921871262516577
"xcell","Monocyte","Biopsy","wilcox_rank_sum",0.433881574794695,0.97332032972522,2,NA,9,10,0.0121176462553139,0.00498131059533238,0.0279882129797264,0.0120010925659618
"xcell","Myeloid dendritic cell","Biopsy","wilcox_rank_sum",0.59561089947573,0.97332032972522,2,NA,9,10,0.0326327694400537,0.030004897410044,0.0275496062371377,0.0401578480969175
"xcell","Myeloid dendritic cell activated","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.772627846977983,0.795689071373101,0.397303531858787,0.178337938222802
"xcell","NK cell","Biopsy","wilcox_rank_sum",0.773106341852418,0.97332032972522,2,NA,9,10,0.0129476770331174,0.0156700120352702,0.0260846572580675,0.0343489431545111
"xcell","Neutrophil","Biopsy","wilcox_rank_sum",0.286364033842911,0.97332032972522,2,NA,9,10,0.00908024819114117,0.00317220409181695,0.0111641092248298,0.00586824883701062
"xcell","Plasmacytoid dendritic cell","Biopsy","wilcox_rank_sum",0.5747471597194,0.97332032972522,2,NA,9,10,0.0184201192697902,0.0244641423170678,0.0339025638221203,0.0486868733593642
"xcell","T cell CD4+ (aggregated)","Biopsy","wilcox_rank_sum",0.967435545139537,1,2,NA,9,10,0.177024987962715,0.205389401901358,0.164442874397098,0.216340721691492
"xcell","T cell CD8+ (aggregated)","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.119994519493634,0.154932418793208,0.184494529653196,0.267845386848447
"xcell","T cell NK","Biopsy","wilcox_rank_sum",0.379299676485723,0.97332032972522,2,NA,9,10,0.00948471296105788,0.00444701693089228,0.0172396547097547,0.00974828530985575
"xcell","T cell gamma delta","Biopsy","wilcox_rank_sum",0.1150901699032,0.97332032972522,2,NA,9,10,0.00171420084705371,0.00328868319510389,0.00383374444937822,0.0103997293992482
"xcell","T cell regulatory (Tregs)","Biopsy","wilcox_rank_sum",0.396243326567862,0.97332032972522,2,NA,9,10,0.0192223634593612,0.00963725444744568,0.0323351704459616,0.0221075832515125
"xcell","immune score","Biopsy","wilcox_rank_sum",0.54029137460742,0.97332032972522,2,NA,9,10,0.124448393565718,0.145562135863269,0.132061960216,0.256006871242304
"xcell","microenvironment score","Biopsy","wilcox_rank_sum",0.713303173878458,0.97332032972522,2,NA,9,10,0.27719023184497,0.305645286038107,0.144976094618795,0.263613315352176
"xcell","stroma score","Biopsy","wilcox_rank_sum",0.775051373670082,0.97332032972522,2,NA,9,10,0.152741838279251,0.160083150174839,0.119287456652553,0.0913347745308392
"CIBERSORTx","B cells memory","Surgery","wilcox_rank_sum",0.27034414065478,0.97332032972522,2,NA,9,10,0.055819352171018,0.0486602086386996,0.0255837510677951,0.0503083861008866
"CIBERSORTx","B cells naive","Surgery","wilcox_rank_sum",0.729062444324521,0.97332032972522,2,NA,9,10,0.00258185939142491,0.00127989301493353,0.00476571757869065,0.00245147805972593
"CIBERSORTx","Dendritic cells activated","Surgery","wilcox_rank_sum",0.520052768121535,0.97332032972522,2,NA,9,10,0.00498475249339188,0.00239923240679317,0.014257623872548,0.00458585863276769
"CIBERSORTx","Dendritic cells resting","Surgery","wilcox_rank_sum",0.0450769820711791,0.97332032972522,2,NA,9,10,0.0303321226187779,0.0115019746108845,0.0222372892091424,0.00959811210800914
"CIBERSORTx","Eosinophils","Surgery","wilcox_rank_sum",0.342781711147911,0.97332032972522,2,NA,9,10,0.000331508618133953,0,0.00099452585440186,0
"CIBERSORTx","Macrophages M0","Surgery","wilcox_rank_sum",0.901661154511435,1,2,NA,9,10,0.0272982779041778,0.0661848605169437,0.0246692143937236,0.13250348225476
"CIBERSORTx","Macrophages M1","Surgery","wilcox_rank_sum",0.055013832353979,0.97332032972522,2,NA,9,10,0.11360196587839,0.086049327333948,0.0291962341623671,0.0270447926944413
"CIBERSORTx","Macrophages M2","Surgery","wilcox_rank_sum",0.347745598910698,0.97332032972522,2,NA,9,10,0.255331937491467,0.235039615402989,0.0372575238859435,0.0576315935515184
"CIBERSORTx","Mast cells activated","Surgery","wilcox_rank_sum",0.269763592896343,0.97332032972522,2,NA,9,10,0.0148515079143242,0.0223895262997614,0.0335516585160602,0.0262767691810476
"CIBERSORTx","Mast cells resting","Surgery","wilcox_rank_sum",0.835750834931409,0.994853851974387,2,NA,9,10,0.0746660764314417,0.0744375932218479,0.0786864562034006,0.0824177695444081
"CIBERSORTx","Monocytes","Surgery","wilcox_rank_sum",0.34713797075308,0.97332032972522,2,NA,9,10,0.000777718158561167,0.00561524702601059,0.00177311856315991,0.00924146154004693
"CIBERSORTx","NK cells activated","Surgery","wilcox_rank_sum",0.0941663754378798,0.97332032972522,2,NA,9,10,0.0568405545981766,0.0857651967460871,0.0336425284418781,0.035885143761173
"CIBERSORTx","NK cells resting","Surgery","wilcox_rank_sum",0.607148751367279,0.97332032972522,2,NA,9,10,0.0023363360612519,0.00227900781499446,0.00535423323105429,0.00720685550070613
"CIBERSORTx","Neutrophils","Surgery","wilcox_rank_sum",0.347745598910698,0.97332032972522,2,NA,9,10,0.0199408102108619,0.0168300666578308,0.0048791675014652,0.00913768237244629
"CIBERSORTx","Plasma cells","Surgery","wilcox_rank_sum",0.868262921435231,1,2,NA,9,10,0.00399234285477067,0.00405598963787712,0.00527177307621781,0.00451650846418997
"CIBERSORTx","T cells CD4+ (general)","Surgery","wilcox_rank_sum",0.11134688653314,0.97332032972522,2,NA,9,10,0.181995983438818,0.126637975415804,0.0604633149363623,0.0583854334463041
"CIBERSORTx","T cells CD8+ (total)","Surgery","wilcox_rank_sum",0.27034414065478,0.97332032972522,2,NA,9,10,0.0988774561464363,0.131567439011888,0.0252008592997274,0.0652550136969487
"CIBERSORTx","T cells follicular helper","Surgery","wilcox_rank_sum",0.255907779437825,0.97332032972522,2,NA,9,10,0.00574163325036197,0.0102603667128973,0.0120326232443013,0.0234926381738917
"CIBERSORTx","T cells gamma delta","Surgery","wilcox_rank_sum",0.462236310411186,0.97332032972522,2,NA,9,10,0.0496978043682136,0.0657053068329913,0.0371310745503812,0.0509360900860209
"CIBERSORTx","T cells regulatory (Tregs)","Surgery","wilcox_rank_sum",0.399075196548237,0.97332032972522,2,NA,9,10,0,0.00334117269681898,0,0.0105657157779152
