"Method","Cell_Type","cluster","n_candidates","n_pairs","n_dropped","n_zero_delta","n_nonzero_delta","mean_biopsy","sd_biopsy","mean_surgery","sd_surgery","mean_delta","sd_delta","p_value","note","FDR"
"estimate","ESTIMATEScore","Fun-CIM",10,10,0,0,10,2891.22981218744,1162.86236952986,2847.76110274559,1257.49936755591,-43.4687094418453,1429.30396220849,0.918812683274642,NA,1
"estimate","ImmuneScore","Fun-CIM",10,10,0,0,10,1820.05995003422,821.816838176755,1902.57245497969,847.480567872461,82.5125049454747,986.144665195795,1,NA,1
"estimate","StromalScore","Fun-CIM",10,10,0,0,10,1071.16986215322,538.052023303611,945.188647765902,637.674984720662,-125.98121438732,800.124616354487,0.610298655976554,NA,1
"estimate","TumorPurity","Fun-CIM",10,10,0,0,10,0.508451866542689,0.142944054808587,0.512908647342836,0.156941748835476,0.00445678080014749,0.179101251780872,0.918812683274642,NA,1
"mcp_counter","B cell","Dys-CIM",9,9,0,0,9,22.2507809876543,28.7604053752438,25.1065904938272,29.7260071303318,2.85580950617284,49.9807298718365,0.905695442034309,NA,0.905695442034309
"mcp_counter","Cancer associated fibroblast","Dys-CIM",9,9,0,0,9,558.325871666667,411.619441860158,216.953724166667,104.651593589807,-341.3721475,319.014412767465,0.0580240199462214,NA,0.159566054852109
"mcp_counter","Endothelial cell","Dys-CIM",9,9,0,0,9,7.12539864583333,4.33964124076436,3.37675062847222,1.40233983493007,-3.74864801736111,4.59996803333271,0.0329693812442201,NA,0.159566054852109
"mcp_counter","Macrophage/Monocyte","Dys-CIM",9,9,0,0,9,19.3233179365079,13.7246794706289,14.373889047619,11.329044722843,-4.94942888888889,9.0469207575332,0.123534253752569,NA,0.194125255896895
"mcp_counter","Monocyte","Dys-CIM",9,9,0,0,9,19.3233179365079,13.7246794706289,14.373889047619,11.329044722843,-4.94942888888889,9.0469207575332,0.123534253752569,NA,0.194125255896895
"mcp_counter","Myeloid dendritic cell","Dys-CIM",9,9,0,0,9,5.5645612962963,1.94079660651736,4.0220987037037,2.16240599928352,-1.54246259259259,2.24282264236419,0.0580240199462214,NA,0.159566054852109
"mcp_counter","NK cell","Dys-CIM",9,9,0,0,9,0.549761388888889,0.604061565698141,0.251192222222222,0.242410372939169,-0.298569166666667,0.714275704505806,0.286320596793059,NA,0.349947396080406
"mcp_counter","Neutrophil","Dys-CIM",9,9,0,0,9,9.89882484126984,5.84613843693021,5.22898380952381,2.95411746226082,-4.66984103174603,5.23894317402825,0.0243902414330541,NA,0.159566054852109
"mcp_counter","T cell","Dys-CIM",9,9,0,0,9,12.6888205925926,9.54899999511938,5.327594,5.5441242769565,-7.36122659259259,11.3649012645218,0.0972010883062347,NA,0.194125255896895
