"version","plot_type","Method","Cell_Type","Timepoint","cluster","n_values","n_groups","output_file","file_exists","status","error_message"
"AGGREGATED","paired","consensus_tme","Cancer associated fibroblast",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Cancer_associated_fibroblast_clusterDys_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","consensus_tme","Endothelial cell",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Endothelial_cell_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Endothelial cell",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Endothelial_cell_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Eosinophil",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Eosinophil_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Eosinophil",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Eosinophil_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Macrophage",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Macrophage_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Macrophage",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Macrophage_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Macrophage M1",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Macrophage_M1_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Macrophage M1",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Macrophage_M1_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Macrophage M2",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Macrophage_M2_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Macrophage M2",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Macrophage_M2_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Mast cell",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Mast_cell_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Mast cell",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Mast_cell_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Monocyte",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Monocyte_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Monocyte",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Monocyte_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Myeloid dendritic cell",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Myeloid_dendritic_cell_clusterFun_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","consensus_tme","Myeloid dendritic cell",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Myeloid_dendritic_cell_clusterDys_CIM.png",FALSE,"saved",NA
"AGGREGATED","paired","consensus_tme","NK cell",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_NK_cell_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","NK cell",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_NK_cell_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Neutrophil",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Neutrophil_clusterFun_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","Neutrophil",NA,"Dys-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_Neutrophil_clusterDys_CIM.png",TRUE,"saved",NA
"AGGREGATED","paired","consensus_tme","T cell CD4+",NA,"Fun-CIM",3888,1,"C:/Users/lopesdelima.i/OneDrive - University of Florida/Gbadamosi Lab/Mohammed Gbadamosi/Gbadamosi_Lab_GitHub/CIMIC/oncoimmunology_paper/Results/nki_smc_immunodeconv_res/figures/AGGREGATED/paired_split/Paired_consensus_tme_T_cell_CD4_clusterFun_CIM.png",TRUE,"saved",NA
