"Method","Cell_Type","Timepoint","test","p_value","FDR","n_clusters","note","Fun-CIM_n","Dys-CIM_n","Fun-CIM_mean","Dys-CIM_mean","Fun-CIM_sd","Dys-CIM_sd"
"xcell","microenvironment score","Biopsy","wilcox",0.0256005023401145,0.0720856250103225,2,NA,25,11,0.111501470886972,0.215157286994102,0.0680540003865364,0.120406640222216
"xcell","stroma score","Biopsy","wilcox",0.0859624694303011,0.193641773242994,2,NA,25,11,0.0570629854631935,0.0349976369570241,0.0500160840313935,0.0430813250667508
"CIBERSORTx","B cells memory","Surgery","wilcox",0.244534836082024,0.398371949928899,2,NA,25,11,0.00144838149981328,0.00201738326941387,0.00623344669914163,0.00478250099720157
"CIBERSORTx","B cells naive","Surgery","wilcox",0.0855587416639128,0.193641773242994,2,NA,25,11,0.0298475039532027,0.0108028016029522,0.0276920191057779,0.0130936640228075
"CIBERSORTx","Dendritic cells activated","Surgery","wilcox",0.942896595200992,0.963246026046502,2,NA,25,11,0.00286480352391788,0.00517257349878847,0.0135139863490811,0.0171554854960172
"CIBERSORTx","Dendritic cells resting","Surgery","wilcox",0.212018568194349,0.357259634595203,2,NA,25,11,0.0074903554740637,0.0232970704226598,0.0104792396180417,0.0402660310280838
"CIBERSORTx","Eosinophils","Surgery","wilcox",NA,NA,2,"skipped_no_variation",25,11,0,0,0,0
"CIBERSORTx","Macrophages M0","Surgery","wilcox",0.245724754161751,0.398371949928899,2,NA,25,11,0.0742205544997092,0.0865558014381833,0.0932726222751663,0.0745045278256174
"CIBERSORTx","Macrophages M1","Surgery","wilcox",0.000181648606414898,0.00794933952783934,2,NA,25,11,0.0385912115536939,0.102728528741541,0.033349784159171,0.0403058943346272
"CIBERSORTx","Macrophages M2","Surgery","wilcox",0.122253824132878,0.246298281498757,2,NA,25,11,0.342665533623861,0.286822445263759,0.107679213229657,0.113187385898778
"CIBERSORTx","Mast cells activated","Surgery","wilcox",0.312296383102512,0.467352629258304,2,NA,25,11,0.00451371135382753,0.0193869793932011,0.0103091821612764,0.0283008934697851
"CIBERSORTx","Mast cells resting","Surgery","wilcox",0.0254109633153238,0.0720856250103225,2,NA,25,11,0.140903071209436,0.0558286935103296,0.111729540768653,0.0581930236593839
"CIBERSORTx","Monocytes","Surgery","wilcox",0.629431210650998,0.756731904939965,2,NA,25,11,0.0237016241422999,0.0165674051952972,0.0292289651635505,0.0210370663091972
"CIBERSORTx","NK cells activated","Surgery","wilcox",0.180434794564588,0.321825399289924,2,NA,25,11,0.0286929323185063,0.0443446799624039,0.0227916996702877,0.0339756747883868
"CIBERSORTx","NK cells resting","Surgery","wilcox",0.688371995017316,0.818397816298365,2,NA,25,11,0.00256358170198482,0.00161284509328276,0.00620888588655111,0.00389008010730246
"CIBERSORTx","Neutrophils","Surgery","wilcox",0.494563411109828,0.641433757439413,2,NA,25,11,0.00639190376675997,0.00719415241331563,0.0122537047245448,0.0130327928837589
"CIBERSORTx","Plasma cells","Surgery","wilcox",0.0202548843565095,0.0610499331308878,2,NA,25,11,0.0187621160192928,0.00220092116162416,0.0263914035113505,0.00381473934568024
"CIBERSORTx","T cells CD4+ (general)","Surgery","wilcox",0.353807458171601,0.49812365821528,2,NA,25,11,0.132885589226853,0.148161339486514,0.081737767960718,0.04932016069573
"CIBERSORTx","T cells CD8+ (total)","Surgery","wilcox",0.191896429991264,0.33177345896234,2,NA,25,11,0.0783932319033879,0.0999301815719823,0.0539363030936606,0.0462836203891621
"CIBERSORTx","T cells follicular helper","Surgery","wilcox",0.47079976151308,0.621920672616044,2,NA,25,11,0.0540743557222982,0.0674645700395775,0.0293821373038632,0.037202562241903
"CIBERSORTx","T cells gamma delta","Surgery","wilcox",0.567959843052278,0.709296538249613,2,NA,25,11,0.002287687358185,0.00756704035355257,0.0103287053365598,0.019584379319842
"CIBERSORTx","T cells regulatory (Tregs)","Surgery","wilcox",0.513488785344866,0.647138599464625,2,NA,25,11,0.00970185114890719,0.0123445875816221,0.0142234453816203,0.0143483829395107
"consensus_tme","B cell","Surgery","wilcox",0.731283806182691,0.845917483908626,2,NA,25,11,-0.0643145076230753,-0.0910393006189557,0.100819244552552,0.0530037095226772
"consensus_tme","Cancer associated fibroblast","Surgery","wilcox",0.00177740765082308,0.0111872128610629,2,NA,25,11,0.356338676631427,0.18651151966032,0.0906637235922726,0.161161180352876
"consensus_tme","Endothelial cell","Surgery","wilcox",0.00140418201506217,0.00969338552333237,2,NA,25,11,0.259290538397029,0.0772902994574319,0.148921695237924,0.130005549099908
"consensus_tme","Eosinophil","Surgery","wilcox",0.836751096730251,0.918280690770635,2,NA,25,11,0.0884545439810207,0.0626598955432293,0.16005210955648,0.0609940524690024
"consensus_tme","Macrophage","Surgery","wilcox",0.836751096730251,0.918280690770635,2,NA,25,11,0.173258320608385,0.151505436396141,0.154170481522669,0.0703578874624791
"consensus_tme","Macrophage M1","Surgery","wilcox",0.582683458340535,0.716633678648704,2,NA,25,11,0.0972689367116068,0.106267622360724,0.162985186460495,0.0763294253227578
"consensus_tme","Macrophage M2","Surgery","wilcox",0.449936901560855,0.605575452415238,2,NA,25,11,0.232547331392273,0.18699800998949,0.155927348317487,0.0652516377549755
"consensus_tme","Mast cell","Surgery","wilcox",0.680264706017982,0.813277358032671,2,NA,25,11,-0.00560271139051143,-0.0316723245430477,0.142018815221992,0.0789293145778827
"consensus_tme","Monocyte","Surgery","wilcox",0.257096546009365,0.408094430295789,2,NA,25,11,0.128650282004215,0.0663989557516375,0.137194046502065,0.0610479074502993
"consensus_tme","Myeloid dendritic cell","Surgery","wilcox",0.836751096730251,0.918280690770635,2,NA,25,11,0.10202435662849,0.0933407487228423,0.143794801355247,0.0673358165035492
"consensus_tme","NK cell","Surgery","wilcox",0.180462840723322,0.321825399289924,2,NA,25,11,-0.132765875791184,-0.110837049871232,0.164893446769386,0.0940871205912265
"consensus_tme","Neutrophil","Surgery","wilcox",0.705608807329843,0.820653721568404,2,NA,25,11,0.0111599898089248,0.018495860170712,0.123345500376088,0.0617131270955428
"consensus_tme","T cell CD4+","Surgery","wilcox",0.890740465989802,0.953092298609088,2,NA,25,11,0.0318429876817812,0.0089644442324372,0.157776843783346,0.0721568937792198
"consensus_tme","T cell CD8+","Surgery","wilcox",0.94524142742881,0.963246026046502,2,NA,25,11,0.0216401213660757,-0.00319419277129106,0.162650703396116,0.0829343908640907
"consensus_tme","T cell gamma delta","Surgery","wilcox",0.203854026539793,0.346228267297744,2,NA,25,11,-0.0767583452705978,-0.0576283273638028,0.173294548046968,0.0885371978783277
"consensus_tme","T cell regulatory (Tregs)","Surgery","wilcox",0.836751096730251,0.918280690770635,2,NA,25,11,0.00563219589419004,-0.0234161105558643,0.171859175552181,0.0862391867293173
"consensus_tme","cytotoxicity score","Surgery","wilcox",0.0636735585550858,0.153102713829083,2,NA,25,11,-0.098229790090551,-0.0276056456096623,0.179770804229673,0.118157400278954
"consensus_tme","immune score","Surgery","wilcox",0.972604570269267,0.981780085083128,2,NA,25,11,0.0492805565863709,0.0311674869728498,0.13490742992815,0.0634429079536001
"epic","B cell","Surgery","wilcox",0.705608807329843,0.820653721568404,2,NA,25,11,0.00412437662250261,0.00282453366572313,0.0078811434577633,0.00344477445615305
"epic","Cancer associated fibroblast","Surgery","wilcox",0.000977877057389218,0.00841625882832557,2,NA,25,11,0.573970296340061,0.157809102788883,0.345517594813083,0.310488951453002
"epic","Endothelial cell","Surgery","wilcox",0.122253824132878,0.246298281498757,2,NA,25,11,0.0592007741672527,0.0113172889795045,0.109983579458586,0.00904739504392994
"epic","Macrophage","Surgery","wilcox",0.371917400892763,0.516820284357476,2,NA,25,11,0.0291354687942999,0.00867161983539744,0.0874708718814977,0.00453947940742427
"epic","NK cell","Surgery","wilcox",0.353807458171601,0.49812365821528,2,NA,25,11,0.000807088022384816,0.00173048446920069,0.00350353205100052,0.00474264765922067
"epic","T cell CD4+","Surgery","wilcox",0.47079976151308,0.621920672616044,2,NA,25,11,0.0305844015389877,0.0200667909320894,0.0314839812190134,0.00939161018091044
"epic","T cell CD8+","Surgery","wilcox",0.050290565257808,0.125141639129894,2,NA,25,11,0.00542817253869218,0.0141030028743679,0.0113299378894983,0.00833151399548738
