"analysis","Method","Cell_Type","Timepoint","reason","k","n_total","n_unique_value","min_cluster_n"
"unpaired_dunn","xcell","Common myeloid progenitor","Surgery","k<3_after_filter",2,36,32,11
"unpaired_dunn","xcell","Endothelial cell","Surgery","k<3_after_filter",2,36,31,11
"unpaired_dunn","xcell","Eosinophil","Surgery","k<3_after_filter",2,36,26,11
"unpaired_dunn","xcell","Granulocyte-monocyte progenitor","Surgery","k<3_after_filter",2,36,21,11
"unpaired_dunn","xcell","Hematopoietic stem cell","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","Macrophage","Surgery","k<3_after_filter",2,36,31,11
"unpaired_dunn","xcell","Macrophage M1","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","Macrophage M2","Surgery","k<3_after_filter",2,36,33,11
"unpaired_dunn","xcell","Mast cell","Surgery","k<3_after_filter",2,36,33,11
"unpaired_dunn","xcell","Monocyte","Surgery","k<3_after_filter",2,36,22,11
"unpaired_dunn","xcell","Myeloid dendritic cell","Surgery","k<3_after_filter",2,36,31,11
"unpaired_dunn","xcell","Myeloid dendritic cell activated","Surgery","k<3_after_filter",2,36,30,11
"unpaired_dunn","xcell","NK cell","Surgery","k<3_after_filter",2,36,24,11
"unpaired_dunn","xcell","Neutrophil","Surgery","k<3_after_filter",2,36,18,11
"unpaired_dunn","xcell","Plasmacytoid dendritic cell","Surgery","k<3_after_filter",2,36,22,11
"unpaired_dunn","xcell","T cell CD4+ (non-regulatory)","Surgery","k<3_after_filter",2,36,19,11
"unpaired_dunn","xcell","T cell CD4+ Th1","Surgery","k<3_after_filter",2,36,28,11
"unpaired_dunn","xcell","T cell CD4+ Th2","Surgery","k<3_after_filter",2,36,31,11
"unpaired_dunn","xcell","T cell CD4+ central memory","Surgery","k<3_after_filter",2,36,29,11
"unpaired_dunn","xcell","T cell CD4+ effector memory","Surgery","k<3_after_filter",2,36,28,11
"unpaired_dunn","xcell","T cell CD4+ memory","Surgery","k<3_after_filter",2,36,26,11
"unpaired_dunn","xcell","T cell CD4+ naive","Surgery","k<3_after_filter",2,36,30,11
"unpaired_dunn","xcell","T cell CD8+","Surgery","k<3_after_filter",2,36,25,11
"unpaired_dunn","xcell","T cell CD8+ central memory","Surgery","k<3_after_filter",2,36,30,11
"unpaired_dunn","xcell","T cell CD8+ effector memory","Surgery","k<3_after_filter",2,36,21,11
"unpaired_dunn","xcell","T cell CD8+ naive","Surgery","k<3_after_filter",2,36,31,11
"unpaired_dunn","xcell","T cell NK","Surgery","k<3_after_filter",2,36,27,11
"unpaired_dunn","xcell","T cell gamma delta","Surgery","k<3_after_filter",2,36,18,11
"unpaired_dunn","xcell","T cell regulatory (Tregs)","Surgery","k<3_after_filter",2,36,19,11
"unpaired_dunn","xcell","immune score","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","microenvironment score","Surgery","k<3_after_filter",2,36,36,11
"unpaired_dunn","xcell","stroma score","Surgery","k<3_after_filter",2,36,36,11
